"1-001","1-0221","YAOURTS",NULL,"2017-07-28 09:00:02"
"1-002","1-0221","DESSERTS",NULL,"2017-07-28 09:00:02"
"1-003","1-0221","SUISSES",NULL,"2017-07-28 09:00:02"
"1-004","1-0221","FROMAGES FRAIS",NULL,"2017-07-28 09:00:02"
"1-005","1-0221","CREME FRAICHE/PDTS BASES",NULL,"2017-07-28 09:00:02"
"1-006","1-0221","JUS & NECTAR FRUITS FRAIS",NULL,"2017-07-28 09:00:02"
"1-007","1-0221","PETITS DEJEUNERS FRAIS",NULL,"2017-07-28 09:00:02"
"1-008","1-0221","LAIT FRAIS",NULL,"2017-07-28 09:00:02"
"1-016","1-0222","BEURRE ET SPEC. LAITIERES",NULL,"2017-07-28 09:00:02"
"1-017","1-0222","MARGARINE & GRAISSE A.F.",NULL,"2017-07-28 09:00:02"
"1-018","1-0222","PATE A TARTINER",NULL,"2017-07-28 09:00:02"
"1-019","1-0222","LAIT LONGUE CONSERVATION",NULL,"2017-07-28 09:00:02"
"1-020","1-0222","PRODUIT LAITIER UHT/AUTRE",NULL,"2017-07-28 09:00:02"
"1-021","1-0222","OEUFS",NULL,"2017-07-28 09:00:02"
"1-022","1-0222","FROMAGES LIBRE SERVICE",NULL,"2017-07-28 09:00:02"
"1-023","1-0222","CUBE APERITIF",NULL,"2017-07-28 09:00:02"
"1-029","1-0222","OVOPRDTS PRDTS DE R.H.F.",NULL,"2017-07-28 09:00:02"
"1-030","1-0222","CREMERIE AVION",NULL,"2017-07-28 09:00:02"
"1-031","1-0223","CHARCUTERIE PRE-EMBALLEE",NULL,"2017-07-28 09:00:02"
"1-032","1-0223","SAUCISSON SEC ET VERRINE",NULL,"2017-07-28 09:00:02"
"1-033","1-0223","TRAITEUR L.S.",NULL,"2017-07-28 09:00:02"
"1-034","1-0223","CHARCUTERIE HALLAL/CASHER",NULL,"2017-07-28 09:00:02"
"1-035","1-0223","CHARCUTERIE AVION",NULL,"2017-07-28 09:00:02"
"1-041","1-0224","POISSONS FUMES/SALES/SECS",NULL,"2017-07-28 09:00:02"
"1-042","1-0224","MARINADES",NULL,"2017-07-28 09:00:02"
"1-043","1-0224","PRODUITS CANAPES",NULL,"2017-07-28 09:00:02"
"1-044","1-0224","PRDTS TRAITEUR DE LA MER",NULL,"2017-07-28 09:00:02"
"1-050","1-0225","POULET LS",NULL,"2017-07-28 09:00:02"
"1-051","1-0225","DINDE LS",NULL,"2017-07-28 09:00:02"
"1-052","1-0225","CANARD ET OIE LS",NULL,"2017-07-28 09:00:02"
"1-053","1-0225","PINTADE LS",NULL,"2017-07-28 09:00:02"
"1-054","1-0225","CAILLE PIGEON GIBIER LS",NULL,"2017-07-28 09:00:02"
"1-055","1-0225","LAPIN LS",NULL,"2017-07-28 09:00:02"
"1-056","1-0225","ABATS DE VOLAILLE CRU LS",NULL,"2017-07-28 09:00:02"
"1-057","1-0225","ELABORES CUITS ET CRUS LS",NULL,"2017-07-28 09:00:02"
"1-058","1-0225","ALIMENTS POUR ANIMAUX LS",NULL,"2017-07-28 09:00:02"
"1-060","1-0552","BOEUF LS",NULL,"2017-07-28 09:00:02"
"1-061","1-0552","VEAU LS",NULL,"2017-07-28 09:00:02"
"1-062","1-0552","AGNEAU LS",NULL,"2017-07-28 09:00:02"
"1-063","1-0552","MOUTONS LS",NULL,"2017-07-28 09:00:02"
"1-064","1-0552","PORCS LS",NULL,"2017-07-28 09:00:02"
"1-065","1-0552","CHEVAL LS",NULL,"2017-07-28 09:00:02"
"1-066","1-0552","STEAK HACHE LS",NULL,"2017-07-28 09:00:02"
"1-067","1-0552","PDT ELABORES LS",NULL,"2017-07-28 09:00:02"
"1-068","1-0552","ABATS CRUS LS",NULL,"2017-07-28 09:00:02"
"1-069","1-0552","AUTRES VIANDES LS",NULL,"2017-07-28 09:00:02"
"1-070","1-0552","VIANDES POUR ANIMAUX LS",NULL,"2017-07-28 09:00:02"
"1-071","1-0552","DECOUPE VOLAILLE BOUCH LS",NULL,"2017-07-28 09:00:02"
"1-080","1-0226","POTAGE & ENTREE SURGELES",NULL,"2017-07-28 09:00:02"
"1-081","1-0226","POISSON F-D-M ESCARG SURG",NULL,"2017-07-28 09:00:02"
"1-082","1-0226","VIANDES & ABATS SURGELES",NULL,"2017-07-28 09:00:02"
"1-083","1-0226","GARNITURES P-D-T SURGELES",NULL,"2017-07-28 09:00:02"
"1-084","1-0226","LEGUMES SURGELES",NULL,"2017-07-28 09:00:02"
"1-085","1-0226","PLATS CUISINES SURGELES",NULL,"2017-07-28 09:00:02"
"1-086","1-0226","PATISSERIE PATES SURGELEES",NULL,"2017-07-28 09:00:02"
"1-087","1-0226","FRUITS & JUS FRT SURGELES",NULL,"2017-07-28 09:00:02"
"1-088","1-0226","AIDES CULINAIRES",NULL,"2017-07-28 09:00:02"
"1-090","1-0227","GLACES VRAC",NULL,"2017-07-28 09:00:02"
"1-091","1-0227","GLACES DETENTE",NULL,"2017-07-28 09:00:02"
"1-092","1-0227","SPEC.IND.A PARTAGER GLACE",NULL,"2017-07-28 09:00:02"
"1-100","1-0550","CHARCUTERIE COUPE",NULL,"2017-07-28 09:00:02"
"1-101","1-0550","TRAITEUR COUPE",NULL,"2017-07-28 09:00:02"
"1-102","1-0558","STAND PIZZA",NULL,"2017-07-28 09:00:02"
"1-103","1-0558","STAND ROTISSERIE",NULL,"2017-07-28 09:00:02"
"1-104","1-0558","STAND SANDWICH",NULL,"2017-07-28 09:00:02"
"1-105","1-0550","CHARCUTERIE FRAIS EMBALLE",NULL,"2017-07-28 09:00:02"
"1-106","1-0550","TRAITEUR FRAIS EMBALLE",NULL,"2017-07-28 09:00:02"
"1-108","1-0558","STAND HMR",NULL,"2017-07-28 09:00:02"
"1-110","1-0551","FROMAGE A LA COUPE",NULL,"2017-07-28 09:00:02"
"1-111","1-0551","AUTRE CREMERIE A LA COUPE",NULL,"2017-07-28 09:00:02"
"1-112","1-0551","FROMAGES FRAIS EMBALLES",NULL,"2017-07-28 09:00:02"
"1-131","1-0557","BOEUF TRADITIONNELLE",NULL,"2017-07-28 09:00:02"
"1-132","1-0557","VEAU TRADITIONNEL",NULL,"2017-07-28 09:00:02"
"1-133","1-0557","GIGOT",NULL,"2017-07-28 09:00:02"
"1-134","1-0557","MOUTON TRADITIONNEL",NULL,"2017-07-28 09:00:02"
"1-135","1-0557","PORC TRADITIONNEL",NULL,"2017-07-28 09:00:02"
"1-136","1-0557","VOLAILLE TRADITIONNELLE",NULL,"2017-07-28 09:00:02"
"1-137","1-0557","CHEVAL TRADITIONNEL",NULL,"2017-07-28 09:00:02"
"1-138","1-0557","AUTRES VIANDES TRADITIONN",NULL,"2017-07-28 09:00:02"
"1-139","1-0557","PRODUITS ELABORES TRADITI",NULL,"2017-07-28 09:00:02"
"1-140","1-0557","ABATS CRUS TRADITIONNELS",NULL,"2017-07-28 09:00:02"
