"BAG","BAGG (AUCHAN)",""
"BAN","BANETTE",""
"BSV","BOISRIPAUX SV",""
"CAS","CASINO",""
"CEX","CRF EXPRESS",""
"CMK","CRF MARKET",""
"COR","CORA",""
"CRF","CARREFOUR",""
"DEL","DELIFRANCE",""
"DIS","DISCOUNT",""
"ECO","ECOMAX",""
"ED","ED DISCOUNT",""
"FNA","FNAC",""
"FRA","FRANPRIX",""
"GEA","GEANT CASINO",""
"GEL","GEL CENTER",""
"G6","G6",""
"HYU","HYPER U",""
"KAZ","KAZ A PRIX",""
"KA1","KADI (N°1)",""
"KFC","KFC RESTAURANT",""
"LAG","LE LAGON",""
"LPR","LEADER PRICE",""
"MAM","MADIMARCHE",""
"MAT","MATCH",""
"MC2","MACK 2",""
"PCA","CASH",""
"PIC","PICARD",""
"PLU","+ UNI",""
"PRO","PROXI",""
"REN","RENEE",""
"SE$","SANS ENSEIGNE",""
"SIM","SIMPLY MARKET",""
"SOD","SODEXHO",""
"SPA","SPAR",""
"SPH","SUPER H",""
"SUP","SUPER U",""
"TIP","TI PRIX",""
"TOP","TOP PRIX",""
"8A8","HUIT A 8",""
