"AVENI","AVENI","1","ASP","","0.0","","1","LOG","AVENIR SERVICE SARL"
"L9916","L9916","1","IMPORT","","0.0","","1","LOG","CHAMPAGNE BARON FUENTE"
"SADIP","SADIP","1","ASP","","0.0","","1","LOG","SADIPRO"
"S9090","S9090","1","IMPORT","","0.0","","1","LOG","SOGEDIAL"
"S9099","S9099","1","IMPORT","","0.0","","1","LOG","SOGEDIAL CHINE"
"T1339","T1339","1","IMPORT","","0.0","","1","LOG","ANCEL TEST"
"00013","00013","1","IMPORT","","0.0","","1","LOG","SANCO"
"00026","00026","1","IMPORT","","0.0","","1","LOG","BORDEAUX TRADITION"
"00034","00034","1","ASP","","0.0","","1","LOG","PALLETTES"
"00075","00075","1","IMPORT","","0.0","","1","LOG","ABTEY PRODUCTION"
"00102","00102","1","IMPORT","","0.0","","1","LOG","SODABIX SCOR/E.AMPIGNY"
"00103","00103","1","IMPORT","","0.0","","1","LOG","BRABO FOOD DISTRIBUTION"
"00122","00122","1","IMPORT","","0.0","","1","LOG","SCOR AMPIGNY"
"00127","00127","1","IMPORT","","0.0","","1","LOG","CIE GATINAISE"
"00140","00140","1","IMPORT","","0.0","","1","LOG","ACTIVAL"
"00174","00174","1","IMPORT","","0.0","","1","LOG","HARRY'S FRANCE"
"00194","00194","1","IMPORT","","0.0","","1","LOG","LESIEUR EXPORTATION"
"00195","00195","1","IMPORT","","0.0","","1","LOG","KAMBLY FRANCE"
"00216","00216","1","ASP","","0.0","","1","LOG","SOMES CHANFLOR"
"00301","00301","1","IMPORT","","0.0","","1","LOG","LOTUS BAKERIES FRANCE SA"
"00592","00592","1","IMPORT","","0.0","","1","LOG","REGILAIT"
"00900","00900","1","IMPORT","","0.0","","1","LOG","HENKEL FRANCE SA"
"01001","01001","1","IMPORT","","0.0","","1","LOG","DS DISTRIBUTION"
"01003","01003","1","IMPORT","","0.0","","1","LOG","FNAC"
"01005","01005","1","IMPORT","","0.0","","1","LOG","INNELEC"
"01007","01007","1","IMPORT","","0.0","","1","LOG","MCI"
"01009","01009","1","IMPORT","","0.0","","1","LOG","UFP"
"01011","01011","1","IMPORT","","0.0","","1","LOG","OVEREDEN SAS"
"01013","01013","1","IMPORT","","0.0","","1","LOG","S.V.L AGENCE PICARD : JA"
"01015","01015","1","IMPORT","","0.0","","1","LOG","LA CARTERIE"
"01044","01044","1","IMPORT","","0.0","","1","LOG","RUGES EMBALLAGES S A R L"
"01068","01068","1","IMPORT","","0.0","","1","LOG","NN"
"01108","01108","1","IMPORT","","0.0","","1","LOG","AUGUST HARMS"
"01124","01124","1","IMPORT","","0.0","","1","LOG","AMORA"
"01128","01128","1","IMPORT","","0.0","","1","LOG","DELICARTA"
"01339","01339","1","IMPORT","","0.0","","1","LOG","DOCTEUR OTEKER ANCEL"
"01340","01340","1","IMPORT","","0.0","","1","LOG","ANDROS"
"01666","01666","1","IMPORT","","0.0","","1","LOG","MARIE DE LIVINHAC"
"01801","01801","1","IMPORT","","0.0","","1","LOG","RAMROS TRADING COMPANY SL"
"01879","01879","1","IMPORT","","0.0","","1","LOG","FRANCE CHAMPIGNONS"
"01951","01951","1","IMPORT","","0.0","","1","LOG","SAN CARLO"
"02047","02047","1","IMPORT","","0.0","","1","LOG","BOUREAU ALAIN : JARRY"
"02051","02051","1","IMPORT","","0.0","","1","LOG","LACTEL SNC"
"02056","02056","1","IMPORT","","0.0","","1","LOG","BIESTERFELD"
"02075","02075","1","IMPORT","","0.0","","1","LOG","CASERTA SNC"
"02092","02092","1","IMPORT","","0.0","","1","LOG","STIXI AG"
"02126","02126","1","IMPORT","","0.0","","1","LOG","ASTRA CALVE SA"
"02139","02139","1","IMPORT","","0.0","","1","LOG","SOFRIA S.A"
"02313","02313","1","IMPORT","","0.0","","1","LOG","COMECO"
"02330","02330","1","IMPORT","","0.0","","1","LOG","PICARD SA BISCOTTES AUGA"
"02377","02377","1","IMPORT","","0.0","","1","LOG","IBRES ET MARTIN"
"02400","02400","1","IMPORT","","0.0","","1","LOG","EUROCAP FRANCE"
"02500","02500","1","IMPORT","","0.0","","1","LOG","BCM COSMETIQUE"
"02544","02544","1","IMPORT","","0.0","","1","LOG","MAC CAIN SUNNYLAND"
"02550","02550","1","IMPORT","","0.0","","1","LOG","LABO EUROPE CREA COS"
"02681","02681","1","IMPORT","","0.0","","1","LOG","SCHWEITZER S.A"
"02779","02779","1","IMPORT","","0.0","","1","LOG","VALDUE SA"
"02900","02900","1","IMPORT","","0.0","","1","LOG","EUROP TRADING MARKET"
"02978","02978","1","IMPORT","","0.0","","1","LOG","GRM"
"02988","02988","1","IMPORT","","0.0","","1","LOG","BARDINET"
"03081","03081","1","IMPORT","","0.0","","1","LOG","BALSEN ST MICHEL"
"03098","03098","1","IMPORT","","0.0","","1","LOG","AVS CELLIERS VAL DE DURANCE"
"03175","03175","1","IMPORT","","0.0","","1","LOG","DELOUIS FILS SA"
"03194","03194","1","IMPORT","","0.0","","1","LOG","CIA DELLE SPEZIE FRANCE"
"03231","03231","1","IMPORT","","0.0","","1","LOG","MEDIASCORE FOODS"
"03363","03363","1","IMPORT","","0.0","","1","LOG","BARRAL PIERRE SA"
"03430","03430","1","IMPORT","","0.0","","1","LOG","LABOURE-ROI BOURGOGNE"
"03468","03468","1","IMPORT","","0.0","","1","LOG","GROBOST BISCUITSS SARL"
"03471","03471","1","IMPORT","","0.0","","1","LOG","BAVARIA FRANCE"
"03520","03520","1","IMPORT","","0.0","","1","LOG","SOCIETE JEAN FLOCH"
"03851","03851","1","IMPORT","","0.0","","1","LOG","LOR NOUGAT"
"03901","03901","1","IMPORT","","0.0","","1","LOG","MAP MARKETING AL"
"03930","03930","1","IMPORT","","0.0","","1","LOG","BASTE"
"03959","03959","1","IMPORT","","0.0","","1","LOG","GENERALE FARINE FRANCE"
"04027","04027","1","IMPORT","","0.0","","1","LOG","DUCROS  GUADELOUPE : Z I"
"04053","04053","1","IMPORT","","0.0","","1","LOG","PACK EMBAL"
"04073","04073","1","IMPORT","","0.0","","1","LOG","METS DE PROVENCE"
