"261001","261","COLA","001",""
"261002","261","LIMONADE, LIMES, GASEOSA","002",""
"261003","261","SODA","003",""
"261004","261","TONIC BITTERS","004",""
"261005","261","BOISSONS AUX FRUITS PETIL","005",""
"261006","261","BOISSON AUX FRUITS PLATE","006",""
"261007","261","PUR JUS","007",""
"261008","261","JUS ABC ET NECTARS","008",""
"261009","261","SIROPS ET CONCENTRES","009",""
"261010","261","BOISSONS DE L'EFFORT","010",""
"261011","261","AUTRES","011",""
"262001","262","BIERES","001",""
"262002","262","BIERES SS ALCOOL ET LIGHT","002",""
"262004","262","PANACHES","004",""
"262005","262","CIDRES","005",""
"262006","262","DIVERS ACCESSOIRES BIERE","006",""
"262012","262","CAVE A BIERE","012",""
"263001","263","EAUX PLATES","001",""
"263002","263","EAUX GAZEUSES","002",""
"263003","263","EAUX AROMATISEES","003",""
"264001","264","VINS DE PAYS","001",""
"264002","264","VINS DE TABLE","002",""
"264003","264","AUTRES VINS","003",""
"265001","265","VINS D'ITALIE","001",""
"265002","265","VINS DU MAGHREB","002",""
"265003","265","VINS D'ESPAGNE","003",""
"265004","265","AUTRES PROVENANCES","004",""
"266001","266","ALSACE","001",""
"266002","266","LOIRE","002",""
"266003","266","RHONE","003",""
"266004","266","BEAUJOLAIS","004",""
"266005","266","BOURGOGNE MACON CHALON","005",""
"266006","266","BORDEAUX","006",""
"266007","266","PROVENCE","007",""
"266008","266","SUD OUEST","008",""
"266009","266","V.D.Q.S.","009",""
"266010","266","AUTRES A.O.C.","010",""
"266011","266","LANGUEDOC ROUSSILLON","011",""
"267001","267","CHAMPAGNES","001",""
"267002","267","MOUSSEUX ET PETILLANTS","002",""
"268001","268","ANISES XERES","001",""
"268002","268","VINS DOUX NATURELS","002",""
"268003","268","VERMOUTHS","003",""
"268004","268","APERITIFS A BASE DE VIN","004",""
"268005","268","PORTO","005",""
"268006","268","VINS DE LIQUEUR","006",""
"268007","268","AMERS BITTERS GENTIANES","007",""
"268008","268","PUNCHS","008",""
"268009","268","COCKTAILS","009",""
"268010","268","PRODUITS POUR COCKTAILS","010",""
"269001","269","ARMAGNAC","001",""
"269002","269","COGNAC","002",""
"269003","269","CALVADOS","003",""
"269004","269","BRANDY ET MARCS","004",""
"269005","269","EAUX DE VIE","005",""
"269006","269","LIQUEURS","006",""
"269007","269","RHUM","007",""
"270001","270","GIN","001",""
"270002","270","VODKA","002",""
"270003","270","TEQUILA ET AUTRES","003",""
"270004","270","WHISKY","004",""
"270005","270","SPIRITUEUX A BASE ALCOOL","005",""
"271001","271","APERITIFS","001",""
"271002","271","SPIRITUEUX","002",""
"271003","271","ALCOOLS DE GRAINS","003",""
"272001","272","ALCOOLS MODIFIES","001",""
"272002","272","EXTRAIT ALCOLISES/ALCOOLA","002",""
"272003","272","ALCOOLS PATISSIERS","003",""
"999999","999","DEFAUT","999",""
"281001","281","LAVAGE DU LINGE","001",""
"281002","281","SAVONS DE MENAGE","002",""
"281003","281","ASSOUPLISSANTS","003",""
"281004","281","SOINS DU LINGE","004",""
"282001","282","LIQUIDES DE SYNTHESE","001",""
"282002","282","LAVE VAISSELLE","002",""
"282003","282","NETTOYANTS MENAGERS","003",""
"282004","282","EAU DE JAVEL","004",""
"282005","282","SOLS","005",""
"282006","282","TAPIS MOQUETTES","006",""
"282007","282","WC ET FOSSES","007",""
"282008","282","VITRES","008",""
"282009","282","MEUBLES","009",""
"282010","282","FOURS","010",""
"282011","282","METAUX","011",""
"282012","282","ENTRETIEN DES MACHINES","012",""
"282013","282","SELS ET DEBOUCHEURS","013",""
"283001","283","DESODORISANTS","001",""
"283002","283","INSECTICIDES","002",""
"283003","283","CIRAGES","003",""
"283004","283","EMBALLAGES MENAGERS","004",""
"283005","283","OUTILS D'ESSUYAGE","005",""
"283006","283","TISSUS ET TAMPONS","006",""
"283007","283","PRODUITS D'ALLUMAGE","007",""
"284001","284","PAPIER TOILETTE","001",""
"284002","284","ESSUIE TOUT","002",""
"284003","284","MOUCHOIRS","003",""
"284004","284","COTON","004",""
"284005","284","HYGIENE FEMININE","005",""
"284006","284","HYGIENE ADULTE","006",""
"284007","284","HYGIENE BEBE","007",""
"284008","284","ESSUIES-MAIN","008",""
"285001","285","EAUX DE COLOGNE","001",""
"285002","285","EAUX DE TOILETTE","002",""
"285003","285","PARFUMS","003",""
"285004","285","SAVONS","004",""
"285005","285","BAINS ET DOUCHES","005",""
"285006","285","DEODORANTS","006",""
"285007","285","DEODORANTS PARFUMANTS","007",""
"285008","285","HYGIENE BUCCO-DENTAIRE","008",""
"285009","285","RASAGE","009",""
"285010","285","HYGIEN.BUCO-DENT ELECTRIC","010",""
"286001","286","SOINS DU VISAGE","001",""
"286002","286","SOINS DU CORPS","002",""
"286003","286","MAQUILLAGE","003",""
"286004","286","BEBE","004",""
"286005","286","ACCESSOIRES DE BEAUTE","005",""
"286006","286","PRODUITS SOLAIRES","006",""
"286007","286","MAQUILLAGE TRADITIONNEL","007",""
"287001","287","MAINTIEN DE LA COIFFURE","001",""
"287002","287","SHAMPOOINGS ADULTES","002",""
"287003","287","SOINS DU CHEVEUX","003",""
"287004","287","COLORATION","004",""
"288001","288","PANSEMENTS","001",""
"288002","288","HYGIENE","002",""
"288004","288","ACCESSOIRES ET DIVERS","004",""
"201001","201","BISCOTTES ET ASSIMILES","001",""
"201002","201","PAIN SUEDOIS","002",""
"201003","201","SPECIALITES","003",""
"202001","202","PAIN LONGUE CONSERVATION","001",""
"202002","202","PANIFICATION SEMI-FRAICHE","002",""
"202003","202","PANIFICATION SUCREE","003",""
"202004","202","SPECIALITES (PAINS SPEC.)","004",""
"203001","203","BISCUITS AUX OEUFS","001",""
"203002","203","GAUFRETTES","002",""
"203003","203","ACCOMPAGNEMENTS","003",""
"203004","203","CASSE-CROUTE ET GOUTER","004",""
"203005","203","BISCUITS SECS","005",""
"203006","203","BISC. PATISSIERS","006",""
"203007","203","COOKIES","007",""
"203008","203","ASSORTIMENTS","008",""
"204001","204","PATISS.A DLC LONGUE +30J","001",""
"204002","204","PATISS. DLC COURTE -30J","002",""
"204003","204","VIENNOISERIES","003",""
"205001","205","BISCUITS APERITIFS","001",""
"205002","205","EXTRUDES","002",""
"205003","205","GRAINES ET MELANGES","003",""
"205004","205","CONDIMENTS","004",""
"205006","205","AUTRES","006",""
"206001","206","MOULUS","001",""
"206002","206","GRAINS","002",""
"206003","206","DECAFEINE","003",""
"206004","206","NAPOLITAIN","004",""
"206005","206","FILTRES","005",""
"207001","207","CAFES SOLUBLES","001",""
"207002","207","MELANGES SOLUBLES","002",""
"207003","207","CHICOREE","003",""
