Gencod (EAN);IFLS;Désignation;Regle;Code. Fourn.;Fournisseur
3560070541065;S28363;4X100G FLAN NATURE CARREFOUR       ;Cde 25 col grp;00091653;LACTALIS  
3560070541300;689782;8X100G FLAN CHOCO NAPPE CHOCO CRF  ;Cde 50 col grp;00096724;SENAGRAL  
3 270 190 205 777;S28695;4X100G CREME CARAMEL COCO CRF      ;Cde 25 col grp;00091653;LACTALIS  
3270190026273;S28364;4X100G CREME CARAMEL CRF           ;Cde 25 col grp;00091653;LACTALIS  
3245413843937;S28366;4X100G CREME OEUFS VANILLE CRF     ;Cde 25 col grp;00091653;LACTALIS  
3023290624265;950019;4X100G LAITIE.CRM OEUF VANILLE     ;Cde 25 col grp;00091653;LACTALIS  
3023290112243;S49214;8X100G PETIT POT CREME CHOCOLAT    ;Cde 25 col grp;00091653;LACTALIS  
3023290112267;S49215;8X100G PETIT POT CREME VANILLE     ;Cde 25 col grp;00091653;LACTALIS  
3479571000011;281344;150G.TEURGOULE CANNELL.JANVILL     ;;00088642;LOGIDIS FR
3279231500000;067364;2X RIZ AU LAIT VANILLE LA FERM     ;;00088642;LOGIDIS FR
3279231503001;097807;2X160G RIZ AU LAIT RHUM RAISIN     ;;00088642;LOGIDIS FR
3279231501007;409729;2X160G RIZ LAIT LA FERMIERE        ;;00088642;LOGIDIS FR
3270190202837;S28697;4X100G GATEAU DE SEMOULE CRF       ;Cde 25 col grp;00091653;LACTALIS  
3608580709916;693604;4X100G RIZ AU LAIT VANILLE BM      ;;00088642;LOGIDIS FR
3045320519402;819389;4X100G SEMOUL.LAI.BONNE MAMAN      ;;00088642;LOGIDIS FR
3023290169940;S63917;4X115G RIZ AU LAIT RHUM RAISIN     ;;00091653;LACTALIS  
3560071073947;556596;4X115G RIZ AU LAIT VANILLE CRF     ;Cde 50 col grp;00096725;AVI CHAREN
3023290169957;S63919;4X115G RIZ LT SAV.VAN.LAITIERE     ;;00091653;LACTALIS  
3560070951673;S02021;4X115G SEMOULE VANILLE CRF         ;;00091653;LACTALIS  
5410096784701;424084;500G RIZ LAIT SAV.VAN.LAITIERE     ;Cde 25 col grp;00091653;LACTALIS  
3218930312002;420365;BQ 600G BOUILLIE AVOINE EVEN       ;;00088642;LOGIDIS FR
3023290239902;S86244;170G POT CHOCO//PECAN CARAMEL      ;;00091653;LACTALIS  
3023290171073;S86243;170G POT CHOCO/MACADAMIA CARAMEL   ;;00091653;LACTALIS  
3023290170977;S86242;170G POT CHOCOLAT LAIT NOIS/CARAMEL;;00091653;LACTALIS  
3023290233702;S76484;4X100G CREME CARAMEL LA LAITI.     ;;00091653;LACTALIS  
3023290640265;839193;4X100G PETIT POT CREME BISCUIT P.V.;Cde 25 col grp;00091653;LACTALIS  
3023290112212;S21657;4X100G PETIT POT CREME CAFE        ;;00091653;LACTALIS  
3270190216827;348027;4X100G PETIT POT CREME CAFE CRF    ;Cde 50 col grp;00096724;SENAGRAL  
3023290236833;S21654;4X100G PETIT POT CREME CARAMEL     ;;00091653;LACTALIS  
3245412404375;284799;4X100G PETIT POT CREME CARAMEL CRF ;Cde 50 col grp;00096724;SENAGRAL  
3023290236819;S21659;4X100G PETIT POT CREME CHOCOLAT    ;;00091653;LACTALIS  
3245412404405;348041;4X100G PETIT POT CREME PISTACHE CRF;Cde 50 col grp;00096724;SENAGRAL  
3023290236826;S21652;4X100G PETIT POT CREME VANILLE     ;;00091653;LACTALIS  
3270190216810;878275;4X100G PTIT POT CREM.CHOCO.CRF     ;Cde 50 col grp;00096724;SENAGRAL  
3270190216803;878300;4X100G PTIT POT CREM.VANIL.CRF     ;Cde 50 col grp;00096724;SENAGRAL  
3560070543182;S28365;8X100G CREME CARAMEL CRF           ;Cde 25 col grp;00091653;LACTALIS  
5060023970198;472718;2X100G FONDANT A COEUR GU          ;;00088642;LOGIDIS FR
3184670001547;S16537;2X110G CARRE FONDANT CHOCOLAT      ;Cde 35 Kg grp;00085138;RIANS     
3270190204367;121470;4X100G ILES FLOTTANTES CRF         ;;00088642;LOGIDIS FR
8003938001622;S26136;2X90G PROFITEROLES                 ;Cde 50 col grp;00091657;SCHOEPFER 
8003938000700;S26144;450G PROFITEROLES                  ;Cde 50 col grp;00091657;SCHOEPFER 
3023290456538;205064;4X90G PROFITEROLES CHOCO.LAITIERE  ;Cde 25 col grp;00091653;LACTALIS  
8003938004531;S67534;500G PROFITEROLES CHOCOLAT PAST    ;Cde 50 col grp;00091657;SCHOEPFER 
