#Region,Code site,Nom site,Groupe Safo O/N,Code enseigne site,Nom enseigne site,Code AS400,a ne pas importer,a ne pas importer,a ne pas importer
1,300,CR MILENIS,O,CRF,CARREFOUR,C90034,CARREFOUR MILENIS - SOFHYPER,,ABYMES (LES)
1,301,CM AZUR,O,CMK,CARREFOUR MARKET,,,,
1,302,CH MARINA,O,CMK,CARREFOUR MARKET,C90017,CHAMPION MARINA,,POINTE A PITRE
1,305,CM STE ROSE,N,CMK,CARREFOUR MARKET,C60012,,,SAINTE ROSE
1,306,CM LE MOULE,O,CMK,CARREFOUR MARKET,C90033,CARREFOUR MARKET SUPLEMOULE,,LE MOULE
1,307,CM LAMENTIN,O,CMK,CARREFOUR MARKET,C90032,,,
1,308,CE LES SAINTES,N,CEX,CARREFOUR EXPRESS,C77001,CARREFOUR EXPRESS LES SAINTES,,TERRE DE HAUT
1,309,CE LE MOULE,N,CEX,CARREFOUR EXPRESS,C77003,,,
1,310,CM BOUILLANTE,N,CMK,CARREFOUR MARKET,C60047,CARREFOUR MARKET BOUILLANTE,,BOUILLANTE
1,311,CE BOUILLANTE,N,CEX,CARREFOUR EXPRESS,C77004,CARREFOUR EXPRESS BOUILLANTE,,
1,312,CE GRAND BOURG MG,N,CEX,CARREFOUR EXPRESS,C50079,CARREFOUR EXPRESS GRAND BOURG,,GRAND BOURG
1,313,CE CAPESTERRE MG,N,CEX,CARREFOUR EXPRESS,C50051,CARREFOUR EXPRESS CAPEST M/G,,CAPESTERRE M-G
1,314,CE STE ANNE,N,CEX,CARREFOUR EXPRESS,C63005,CARREFOUR EXPRESS STE ANNE,,STE ANNE
1,315,CE STE ROSE,N,CEX,CARREFOUR EXPRESS,C63009,CARREFOUR EXPRESS STE ROSE,,SAINTE ROSE
1,316,CM COLLINS,O,CMK,CARREFOUR MARKET,C90128,CARREFOUR MARKET COLIN,,PETIT BOURG
2,101,CM SCOR,O,CMK,CARREFOUR MARKET,,,,
2,103,CM SUDAMAR,O,CMK,CARREFOUR MARKET,C21007,"CARREFOUR MKET MARIN SUDAMAR",,MARIN
2,104,CE ST LUCE,N,CEX,CARREFOUR EXPRESS,C22032,CRF EXPRESS SAINTE LUCE,,SAINTE LUCE
2,106,CM PERRINON,O,CMK,CARREFOUR MARKET,C21008,CARREFOUR MKET SUPFOYAL,,FORT DE France
2,107,CM ROBERT,O,CMK,CARREFOUR MARKET,C21010,CRF MARKET ROBERT,,ROBERT
2,108,PAP.MARINA,O,CMA,CARREFOUR MARINA,,,,
2,109,CM GROS MORNE,O,CMK,CARREFOUR MARKET,C21011,CRF MARKET GROS-MORNE,,GROS MORNE
2,110,CM TRINITE,O,CMK,CARREFOUR MARKET,C21012,CARREFOUR MKET TRINITE,,TRINITE
2,111,8AH ANSE ANE,N,CEX,CARREFOUR EXPRESS,C22002,CRF EXPRESS CARBET,HUIT A 8 GRANDE ANSE,CARBET
2,112,CE RIV. PILOTE,N,CEX,CARREFOUR EXPRESS,C22033,CRF EXPRESS RIV. PILOTE,,RIVIERE PILOTE
2,115,CE CARBET,N,CEX,CARREFOUR EXPRESS,C22002,"CRF EXPRESS CARBET",,
