"0111261","261","BOISSONS SANS ALCOOL","","","0111"
"0111262","262","BIERES CIDRES","","","0111"
"0111263","263","EAUX MINERALES","","","0111"
"0111264","264","VINS CONSOMMATION COURANT","","","0111"
"0111265","265","VINS ETRANGERS","","","0111"
"0111266","266","VINS FINS","","","0111"
"0111267","267","CHAMPAGNES MOUSSEUX","","","0111"
"0111268","268","APERITIFS","","","0111"
"0111269","269","ALCOOLS ET SPIRITUEUX","","","0111"
"0111270","270","ALCOOLS DE GRAINS","","","0111"
"0111271","271","FLASQUES","","","0111"
"0111272","272","ALCOOLS ET DERIVES(us.pro","","","0111"
"0111999","999","liaison caisse","","","0111"
"0112281","281","LAVAGE","","","0112"
"0112282","282","PRODUITS D'ENTRETIEN","","","0112"
"0112283","283","DROGUERIE","","","0112"
"0112284","284","HYGIENE PAPIER","","","0112"
"0112285","285","HYGIENE PARFUMERIE","","","0112"
"0112286","286","BEAUTE","","","0112"
"0112287","287","CAPILLAIRES","","","0112"
"0112288","288","PARAPHARMACIE","","","0112"
"0114201","201","PANIFICATION SECHE","","","0114"
"0114202","202","PAINS SPECIAUX EMBALLES","","","0114"
"0114203","203","BISCUITERIE SUCREE","","","0114"
"0114204","204","PATISSERIE INDUSTRIELLE","","","0114"
"0114205","205","PRODUITS POUR APERITIF","","","0114"
"0114206","206","CAFES TORREFIES","","","0114"
"0114207","207","CAFES CHICOREES SOLUBLES","","","0114"
"0114208","208","POUDRES CHOCOLATEES","","","0114"
"0114209","209","CEREALES","","","0114"
"0114210","210","THES ET INFUSIONS","","","0114"
"0114211","211","CHOCOLAT EN TABLETTES","","","0114"
"0114212","212","CONFISERIE DE SUCRE","","","0114"
"0114213","213","CONFISERIE DE CHOCOLAT","","","0114"
"0114214","214","ENTREMETS ET DESSERTS","","","0114"
"0114215","215","PRODUITS POUR PATISSERIE","","","0114"
"0114216","216","LAITS CCENTRES ET POUDRES","","","0114"
"0114217","217","SUCRES","","","0114"
"0114218","218","CHOCOLATS DE FETE","","","0114"
"0114219","219","PRODUITS DIETETIQUES","","","0114"
"0114220","220","EPICERIE FINE","","","0114"
"0114221","221","FARINES","","","0114"
"0114222","222","PUREE FECULE SEMOULE","","","0114"
"0114223","223","PATES ALIMENTAIRES","","","0114"
"0114224","224","RIZ","","","0114"
"0114225","225","LEGUMES SECS","","","0114"
"0114226","226","POTAGES ET BOUILLONS","","","0114"
"0114227","227","CONDIMENTS ET SAUCES","","","0114"
"0114228","228","SELS POIVRES EPICES","","","0114"
"0114229","229","CHIPS NATURE","","","0114"
"0114230","230","HUILES ALIMENTAIRES","","","0114"
"0114231","231","VINAIGRES ET VINAIGRETTES","","","0114"
"0114232","232","CONFIT.PATES TARTIN. MIEL","","","0114"
"0114233","233","FRUITS AU SIROP","","","0114"
"0114234","234","CONSERVES DE LEGUMES","","","0114"
"0114235","235","CONSERVES DE POISSON","","","0114"
"0114236","236","CONSERVES DE VIANDES","","","0114"
"0114237","237","PLATS CUISINES","","","0114"
"0114238","238","ALIMENTS POUR ENFANTS","","","0114"
"0114239","239","ALIMENTS POUR ANIMAUX","","","0114"
"0115891","891","LA POSTE","","","0115"
"0221001","001","YAOURTS","","","0221"
"0221002","002","DESSERTS","","","0221"
"0221003","003","SUISSES","","","0221"
"0221004","004","FROMAGES FRAIS","","","0221"
"0221005","005","CREME FRAICHE/PDTS BASES","","","0221"
"0221006","006","JUS & NECTAR FRUITS FRAIS","","","0221"
"0221007","007","PETITS DEJEUNERS FRAIS","","","0221"
"0221008","008","LAIT FRAIS","","","0221"
"0222016","016","BEURRE ET SPEC. LAITIERES","","","0222"
"0222017","017","MARGARINE & GRAISSE A.F.","","","0222"
"0222018","018","PATE A TARTINER","","","0222"
"0222019","019","LAIT LONGUE CONSERVATION","","","0222"
"0222020","020","PRODUIT LAITIER UHT/AUTRE","","","0222"
"0222021","021","OEUFS","","","0222"
"0222022","022","FROMAGES LIBRE SERVICE","","","0222"
"0222023","023","CUBE APERITIF","","","0222"
"0222029","029","OVOPRDTS PRDTS DE R.H.F.","","","0222"
"0223031","031","CHARCUTERIE PRE-EMBALLEE","","","0223"
"0223032","032","SAUCISSON SEC ET VERRINE","","","0223"
"0223033","033","TRAITEUR L.S.","","","0223"
"0223034","034","CHARCUTERIE HALLAL/CASHER","","","0223"
"0224041","041","POISSONS FUMES/SALES/SECS","","","0224"
"0224042","042","MARINADES","","","0224"
"0224043","043","PRODUITS CANAPES","","","0224"
"0224044","044","PRDTS TRAITEUR DE LA MER","","","0224"
"0226080","080","POTAGE & ENTREE SURGELES","","","0226"
"0226081","081","POISSON F.DE MER ESCAR.SU","","","0226"
"0226082","082","VIANDES ET ABATS SURGELES","","","0226"
"0226083","083","GARNITURES P.D.TERRE SURG","","","0226"
"0226084","084","LEGUMES SURGELES","","","0226"
"0226085","085","PLATS CUISINES SURGELES","","","0226"
"0226086","086","PATISSERIE ET PATES SURGE","","","0226"
"0226087","087","FRUITS ET JUS DE FRT SURG","","","0226"
"0226088","088","AIDES CULINAIRES","","","0226"
"0226298","298","SACS ISOTHERMES","","","0226"
"0227090","090","GLACES VRAC","","","0227"
"0227091","091","GLACES DETENTE","","","0227"
"0227092","092","SPEC.IND.A PARTAGER GLACE","","","0227"
"0330300","300","OUTILLAGE QUINCAILLERIE","","","0330"
"0330301","301","ELECTRICITE","","","0330"
"0330302","302","DROGUERIE","","","0330"
"0330303","303","OUTILLAGE  ELECTRIQUE","","","0330"
"0330304","304","PILES","","","0330"
"0330343","343","S.A.V  BRICO","","","0330"
"0330366","366","AMPOULES","","","0330"
"0330367","367","PLOMBERIE","","","0330"
"0330368","368","MACONNERIE","","","0330"
"0330369","369","PEINTURE PAPIER PEINT","","","0330"
"0331290","290","SACS CLIENTELE (payants)","","","0331"
"0331306","306","CADEAUX","","","0331"
"0331307","307","MAT.ACCES.DE BAR PROF","","","0331"
"0331308","308","ENTRETIEN","","","0331"
"0331309","309","CAFE PETIT DEJEUNER","","","0331"
"0331310","310","VERRERIE","","","0331"
"0331311","311","VAISSELLE","","","0331"
"0331312","312","COUVERT PLATERIE INOX","","","0331"
"0331313","313","PREPARATION TABLE CUISSON","","","0331"
"0331314","314","RANGEMENT POUBELLE","","","0331"
"0331315","315","ARTICLES MENAGERS","","","0331"
"0331316","316","VAISSELLES A JETER","","","0331"
"0331317","317","SOIN DU LINGE","","","0331"
"0331318","318","CUISSON GAZ PLAQUES ELEC","","","0331"
"0331319","319","CUISSON DANS LE FOUR","","","0331"
"0331397","397","BOUGIES ET SENTEURS","","","0331"
"0331398","398","TABLE EN FETE","","","0331"
"0332321","321","CORRESPONDANCE","","","0332"
"0332322","322","ECRITURE","","","0332"
"0332323","323","PAPETERIE/CAHIERS","","","0332"
"0332324","324","COPIES DOUBLES","","","0332"
"0332325","325","FEUILLETS MOBILES","","","0332"
"0332326","326","PAP.BUREAU","","","0332"
"0332327","327","DESSIN LOISIRS CREATIFS","","","0332"
"0332328","328","MATERIEL SCOLAIRE","","","0332"
"0332329","329","ACCES.BUREAU CLASSEMENT","","","0332"
"0332336","336","CARTERIE","","","0332"
"0332340","340","PAPETERIE PROFESSIONNEL","","","0332"
"0332344","344","ESPACE BUREAU","","","0332"
"0332399","399","PRETS A POSTER","","","0332"
"0333320","320","LITTERATURE POCHE","","","0333"
"0333330","330","PRESSE","","","0333"
"0333331","331","LITTERATURE HORS POCHE","","","0333"
"0333332","332","PRATIQUES LOISIRS","","","0333"
"0333333","333","JEUNESSE","","","0333"
"0333334","334","POCHE JEUNESSE","","","0333"
"0333335","335","DICTIONNAIRE PARASCOLAIRE","","","0333"
"0334341","341","SUPPORT VIDEO","","","0334"
"0335345","345","EQUIPEMENT DU JARDIN","","","0335"
"0335347","347","VEGETAUX D'EXTERIEUR","","","0335"
"0335348","348","BULBES & SEMENCES & PLAN","","","0335"
"0335349","349","FLEURS SECHEES & ARTIFIC.","","","0335"
"0335350","350","OUTILLAGE DE JARDIN","","","0335"
"0335351","351","ACCESSOIRES PRESENTATION","","","0335"
"0335352","352","OUTILL.MECANIQ & ELECTRIQ","","","0335"
"0335353","353","ARROSAGE PULVERISATION","","","0335"
"0335354","354","CLOTURES PROTECTIONS","","","0335"
"0335356","356","ENGRAIS AMENDEMENT PHYTO","","","0335"
"0335357","357","ANIMALERIE","","","0335"
"0335358","358","S.A.V JARDINERIE","","","0335"
"0335384","384","CAMPING","","","0335"
"0336305","305","HORLOGERIE","","","0336"
"0336359","359","DECORATION DE NOEL","","","0336"
"0336361","361","DECORATION MUR ET SOL","","","0336"
"0336362","362","LUMINAIRE","","","0336"
"0336363","363","MEUBLES ET RANGEMENTS","","","0336"
"0336364","364","ACCESSOIRES SALLE DE BAIN","","","0336"
"0336365","365","SANITAIRE PROFESSIONNEL","","","0336"
"0336395","395","BOIS METAL ROTIN","","","0336"
"0337370","370","AUTO INTERIEUR","","","0337"
"0337371","371","AUTO EXTERIEUR","","","0337"
"0337372","372","AUTO TECHNIQUE","","","0337"
"0337373","373","LUBRIFIANT","","","0337"
"0337374","374","ENTRETIEN AUTO","","","0337"
"0337933","933","MOTO TECHNIQUE","","","0337"
"0337934","934","EQUIPEMENT MOTO","","","0337"
"0337935","935","EQUIPEMENT PILOTE","","","0337"
"0338380","380","JOUETS BEBE","","","0338"
"0338381","381","JOUETS FILLES","","","0338"
"0338382","382","JOUETS GARCON","","","0338"
"0338383","383","JOUETS MIXTES","","","0338"
"0338385","385","JOUET D'EXTERIEUR","","","0338"
"0338393","393","ARTICLES DE FETES","","","0338"
"0339337","337","BAGAGE","","","0339"
"0339338","338","MAROQUINERIE SCOLAIRE","","","0339"
"0371386","386","SPORT D'EQUIPE","","","0371"
"0371387","387","SPORT D'EXTERIEUR","","","0371"
"0371388","388","SPORT D'HIVER","","","0371"
"0371389","389","SPORT D'INTERIEUR","","","0371"
"0371390","390","SPORT NAUTIQUE","","","0371"
"0371391","391","PECHE","","","0371"
"0371392","392","S.A.V LOISIRS","","","0371"
"0373375","375","VELO ENFANT","","","0373"
"0373376","376","VELO DAME","","","0373"
"0373377","377","VELO HOMME","","","0373"
"0373378","378","ACCESSOIRES CYCLES","","","0373"
"0373379","379","S.A.V. VELO","","","0373"
"0440700","700","COUVERTURE","","","0440"
"0440701","701","COUVRE-LIT","","","0440"
"0440702","702","PROTEGE MATELATS","","","0440"
"0440703","703","COUETTE","","","0440"
"0440704","704","OREILLER TRAVERSIN COUSSI","","","0440"
"0440705","705","LINGE DE LIT","","","0440"
"0440706","706","HOUSSE DE COUETTE","","","0440"
"0440707","707","LINGE DE TOILETTE","","","0440"
"0440708","708","PEIGNOIR DE BAIN","","","0440"
