"*****","*****","1","ASP","","0.0","","2","SOF","NON DETERMINE................."
"S9099","S9099","1","IMPORT","","0.0","","2","SOF","SOGEDIAL CHINE"
"00000","00000","1","IMPORT","","0.0","","2","SOF","stock a liquider"
"00001","00001","1","IMPORT","","0.0","","2","SOF","PANZANI FRERES"
"00002","00002","1","IMPORT","","0.0","","2","SOF","PERRIER JOUET"
"00005","00005","1","IMPORT","","0.0","","2","SOF","AGENCE CARO"
"00006","00006","1","IMPORT","","0.0","","2","SOF","CONTINENTAL BISCUITS"
"00007","00007","1","IMPORT","","0.0","","2","SOF","NUTRITION ET SANTE"
"00008","00008","1","IMPORT","","0.0","","2","SOF","ETS RONGIER  32648"
"00010","00010","1","IMPORT","","0.0","","2","SOF","CIDRE.DU CALVADOS 47"
"00011","00011","1","IMPORT","","0.0","","2","SOF","FRANC.VINS MOUSSEUX-"
"00012","00012","1","ASP","","0.0","","2","SOF","RENE LANCRY S.A."
"00013","00013","1","ASP","","0.0","","2","SOF","SANCO"
"00014","00014","1","IMPORT","","0.0","","2","SOF","STEPHAN CONSERVES -"
"00015","00015","1","ASP","","0.0","","2","SOF","KRONEMBOURG"
"00016","00016","1","IMPORT","","0.0","","2","SOF","BALLANDE 90375"
"00017","00017","1","IMPORT","","0.0","","2","SOF","CHAMPAGNE GREMILLET"
"00018","00018","1","IMPORT","","0.0","","2","SOF","CIE FR.CONDIMENT-MIN"
"00019","00019","1","IMPORT","","0.0","","2","SOF","TEMPIER - SOVACO - 8"
"00020","00020","1","ASP","","0.0","","2","SOF","PREVOTEAU ETS"
"00021","00021","1","IMPORT","","0.0","","2","SOF","TOLSA 42857"
"00022","00022","1","ASP","","0.0","","2","SOF","HERITIERS H.CLEMENT"
"00023","00023","1","IMPORT","","0.0","","2","SOF","NLLE RIZERIE NORD - AMPIGNY"
"00024","00024","1","IMPORT","","0.0","","2","SOF","BRASSERIE BITBURGER"
"00025","00025","1","IMPORT","","0.0","","2","SOF","CHATEAU PLAIN POINT"
"00026","00026","1","IMPORT","","0.0","","2","SOF","BORDEAUX TRADITION"
"00027","00027","1","IMPORT","","0.0","","2","SOF","CAVES DES PAPES S.A OGIER"
"00030","00030","1","ASP","","0.0","","2","SOF","BRASSERIE LORRAINE."
"00031","00031","1","IMPORT","","0.0","","2","SOF","MORINA BAIE"
"00032","00032","1","IMPORT","","0.0","","2","SOF","BIS.DUBOIS 60/149-28"
"00033","00033","1","IMPORT","","0.0","","2","SOF","CLEMENT"
"00034","00034","1","IMPORT","","0.0","","2","SOF","BISCUITERIE ABBAYE 4"
"00035","00035","1","ASP","","0.0","","2","SOF","PROCHIMIE.S.A"
"00036","00036","1","ASP","","0.0","","2","SOF","PROPSAM S.A"
"00038","00038","1","ASP","","0.0","","2","SOF","FRISKIES-GLORIA SA-F"
"00039","00039","1","ASP","","0.0","","2","SOF","DE NEGRI GEORGES"
"00040","00040","1","IMPORT","","0.0","","2","SOF","EQUITUDE-MINCI"
"00041","00041","1","IMPORT","","0.0","","2","SOF","CAPEL-TEXOM BARON DE"
"00042","00042","1","IMPORT","","0.0","","2","SOF","IDEAL SA 4520"
"00043","00043","1","IMPORT","","0.0","","2","SOF","LE CABANON 24484"
"00044","00044","1","IMPORT","","0.0","","2","SOF","ATLANTIC SNACKS"
"00045","00045","1","ASP","","0.0","","2","SOF","POMAL S.A"
"00046","00046","1","IMPORT","","0.0","","2","SOF","VICO 300P/600PTS - 6"
"00047","00047","1","IMPORT","","0.0","","2","SOF","WILHEM REUSS GMBH & CO"
"00048","00048","1","IMPORT","","0.0","","2","SOF","JACQUET _ 18866"
"00049","00049","1","IMPORT","","0.0","","2","SOF","LORENZ BAHLSEN"
"00050","00050","1","ASP","","0.0","","2","SOF","MULTIGROS..........."
"00051","00051","1","IMPORT","","0.0","","2","SOF","REYNS ET MAURELS -98"
"00052","00052","1","IMPORT","","0.0","","2","SOF","CACOLAC - 05262"
"00054","00054","1","IMPORT","","0.0","","2","SOF","KISBY ( DEO ) 34368"
"00055","00055","1","IMPORT","","0.0","","2","SOF","FAMO-RCL-  74754"
"00059","00059","1","IMPORT","","0.0","","2","SOF","PECHE & FROID-52015-"
"00072","00072","1","IMPORT","","0.0","","2","SOF","CPC 300-600/601 - 04"
"00074","00074","1","IMPORT","","0.0","","2","SOF","SNAIR 1/4P-5/9P-10-"
"00075","00075","1","IMPORT","","0.0","","2","SOF","ABTEY PRODUCTIONS"
"00080","00080","1","IMPORT","","0.0","","2","SOF","ASN FRANCE 1P/2P/6P-"
"00082","00082","1","ASP","","0.0","","2","SOF","RHUM SAINT ETIENNE"
"00085","00085","1","IMPORT","","0.0","","2","SOF","VICTORIA TC COMPLET"
"00086","00086","1","IMPORT","","0.0","","2","SOF","CASTEL"
"00090","00090","1","ASP","","0.0","","2","SOF","GMA.C/O SOMADIFAC"
"00093","00093","1","IMPORT","","0.0","","2","SOF","ANDROS  - 01340"
"00095","00095","1","IMPORT","","0.0","","2","SOF","BONDUELLE   08756"
"00097","00097","1","IMPORT","","0.0","","2","SOF","PANIER TANGUY 1/7-8-"
"00098","00098","1","IMPORT","","0.0","","2","SOF","MARGARINE VICTORIA-D"
"00099","00099","1","IMPORT","","0.0","","2","SOF","STROMBOLI /PANZANI"
"00100","00100","1","IMPORT","","0.0","","2","SOF","DUPOUY-SBCC"
"00102","00102","1","IMPORT","","0.0","","2","SOF","SODABIX-SCOR/E.AMPIG"
"00103","00103","1","IMPORT","","0.0","","2","SOF","MORUES-HARENGS"
"00105","00105","1","IMPORT","","0.0","","2","SOF","C.C.E."
"00106","00106","1","IMPORT","","0.0","","2","SOF","SCHWEPPES-OASIS"
"00107","00107","1","IMPORT","","0.0","","2","SOF","ARACHIDE COQUE"
"00108","00108","1","IMPORT","","0.0","","2","SOF","GEORGES DARRAS 97900"
"00109","00109","1","IMPORT","","0.0","","2","SOF","SOGEDIAL AULX/PDT/OI"
"00110","00110","1","IMPORT","","0.0","","2","SOF","GRAY ET CIE ( SUNKIS"
"00111","00111","1","IMPORT","","0.0","","2","SOF","FRANCE PRUNE PRUNIL."
"00112","00112","1","IMPORT","","0.0","","2","SOF","GENIEVRE HENKES"
"00113","00113","1","IMPORT","","0.0","","2","SOF","VOLVIC"
"00114","00114","1","IMPORT","","0.0","","2","SOF","PERRIER"
"00115","00115","1","IMPORT","","0.0","","2","SOF","UNILEVER............"
"00116","00116","1","IMPORT","","0.0","","2","SOF","NN"
"00117","00117","1","IMPORT","","0.0","","2","SOF","UNILEVER/NDT ......."
"00118","00118","1","IMPORT","","0.0","","2","SOF","GEO-SAP  - 10171"
"00119","00119","1","IMPORT","","0.0","","2","SOF","VICHY-ST YORRE VIA NEPTUNE SNC"
"00121","00121","1","ASP","","0.0","","2","SOF","SUCRE GALION/SAEM"
"00122","00122","1","IMPORT","","0.0","","2","SOF","SCOR AMPIGNY"
"00123","00123","1","IMPORT","","0.0","","2","SOF","SAINT ANTOINE"
"00124","00124","1","IMPORT","","0.0","","2","SOF","BEAUMARAIS"
"00125","00125","1","ASP","","0.0","","2","SOF","FONT.DIDIER/SEEMD"
"00126","00126","1","IMPORT","","0.0","","2","SOF","CANTALOU 60P-500P- 1"
"00131","00131","1","IMPORT","","0.0","","2","SOF","CABY EXPORT 13594"
"00133","00133","1","IMPORT","","0.0","","2","SOF","UNION BISC.4/19 PAL."
"00150","00150","1","IMPORT","","0.0","","2","SOF","SOGEDIAL-SALAISONS-"
"00151","00151","1","IMPORT","","0.0","","2","SOF","ROUGIER BISCUITS 759"
"00169","00169","1","IMPORT","","0.0","","2","SOF","LESAFFRE -LEVURE"
"00171","00171","1","IMPORT","","0.0","","2","SOF","CIA DELLE SPEZIE 319"
"00174","00174","1","IMPORT","","0.0","","2","SOF","HARRY'S FRANCE"
"00178","00178","1","IMPORT","","0.0","","2","SOF","CIRIO FRANCE - 17316"
"00180","00180","1","IMPORT","","0.0","","2","SOF","TEISSEIRE  9271"
"00194","00194","1","IMPORT","","0.0","","2","SOF","LESIEUR EXPORTATION"
"00195","00195","1","IMPORT","","0.0","","2","SOF","KAMBLY FRANCE"
"00199","00199","1","IMPORT","","0.0","","2","SOF","VALEXPORT- 75910"
"00200","00200","1","IMPORT","","0.0","","2","SOF","FRANCE-LAIT"
