"***","NON DETERMINE","","",""
"AIR","AIRWAYS","","",""
"AMO","AMORA","","",""
"APE","APERICUBE","","",""
"AUS","AUSSAGE","","",""
"BAB","BABYBEL","","",""
"BAH","BAHLSEN","","",""
"BAL","BALISTO","","",""
"BNT","BOUNTY","","",""
"BOB","BOMBEL","","",""
"BOU","BOURSIN","","",""
"BRF","BREF","","",""
"CAF","CATISFACTION","","",""
"CAN","CANIGOU","","",""
"CAT","CATSAN","","",""
"CEB","CELEBRATION","","",""
"CES","CESAR","","",""
"CHA","LE CHAT","","",""
"CHB","LE CHAT BEBE","","",""
"CHP","LE CHAT PAILLET","","",""
"CHS","LE CHAT SAVON","","",""
"COL","COLORIAS","","",""
"CPI","CHAPPI","","",""
"CTN","CARTE NOIR","","",""
"C01","1ER PRIX","","",""
"C02","CARREFOUR","","",""
"C03","CARREFOUR BIO","","",""
"C04","CARREFOUR DISC.","","",""
"C05","CARREFOUR BABY","","",""
"C06","CARREFOUR KIDS","","",""
"C07","GRAND JURY","","",""
"C08","N°1","","",""
"C09","PROMOCASH","","",""
"C10","REFLET DE  FRAN","","",""
"DEC","DECAPFOUR","","",""
"DEN","DENIVIT","","",""
"DIA","DIADERMINE","","",""
"DLS","DECOLOR STOP","","",""
"EBL","EBLY","","",""
"EEC","EAU ECARLATE","","",""
"EVI","EVIAN","","",""
"FA","FA","","",""
"FIN","FINDUS","","",""
"FRD","FREEDENT","","",""
"FRO","FROLIC","","",""
"GLI","GLISS","","",""
"GMR","GRAND MERE","","",""
"GOT","GOT2B","","",""
"JBV","JACQUES VABRE","","",""
"JFA","JFA","","",""
"KEC","KERATINE COLOR","","",""
"KIR","KIRI","","",""
"KIT","KITEKAT","","",""
"K2R","K2R","","",""
"LEE","LEERDAMER","","",""
"LIE","LIEBIG","","",""
"LOR","L'OR","","",""
"MAI","MAILLE","","",""
"MAL","MALTESER","","",""
"MAR","MARS","","",""
"MAT","MATERNE","","",""
"MAX","MAXWELL","","",""
"MDC","MAISON DU CAFE","","",""
"MDD","MARQ DE DISTRIB","","",""
"MEN","MEN PERFECT","","",""
"MFT","MIR FINI LE TRI","","",""
"MIE","MIEUXA","","",""
"MIL","MILKIWAY","","",""
"MIN","MINIDOU","","",""
"MIR","MIR","","",""
"MMS","M&M'S","","",""
"MON","MONSAVON","","",""
"MRR","MIROR","","",""
"MSM","MONT ST MICHEL","","",""
"M11","3 TOQUES","","",""
"M12","ABTEY","","",""
"M13","ALBA","","",""
"M14","ALSA","","",""
"M15","AMORA","","",""
"M16","ANDROS","","",""
"M17","ARIEL","","",""
"M18","ARMORIAL","","",""
"M19","AXE","","",""
"M20","BACARDI","","",""
"M21","BALTHOR","","",""
"M22","BARBIE","","",""
"M23","BARILLA","","",""
"M24","BEAUMOULIN","","",""
"M25","BIESTERFIELD","","",""
"M26","BIOFOURNIL","","",""
"M27","BJORG","","",""
"M28","BOLARI","","",""
"M29","BOMBAY","","",""
"M30","BONDUELLE","","",""
"M32","BONMAFE","","",""
"M33","BONTOUT","","",""
"M34","BRETON GOURMAND","","",""
"M35","BRICODOM","","",""
"M36","BRIGHT","","",""
"M37","BROSSARD","","",""
"M38","BRUT","","",""
"M39","CAMINO REAL","","",""
"M40","CANDIA","","",""
"M44","CASSEGRAIN","","",""
"M45","CEMOI","","",""
"M46","CEREBOS","","",""
"M47","CHAVILLE","","",""
"M48","CHEV.D'ARGOUGES","","",""
"M49","CIE SAVON MARS","","",""
"M50","CIF","","",""
"M51","CLOSE UP","","",""
"M52","COATHALEM","","",""
"M53","COBRA","","",""
"M54","COPA","","",""
"M55","CRESPO","","",""
"M56","CRISTALINE","","",""
"M57","DADDY","","",""
"M58","DAKATINE","","",""
"M59","DAN CAKE","","",""
"M60","D'AUCY","","",""
"M61","DEA","","",""
"M62","DELACRE","","",""
"M63","DELMONACO","","",""
"M64","DELPEYRAT","","",""
"M65","DEWAR'S","","",""
"M66","DOVE","","",""
"M67","DR OETKER","","",""
"M68","ECONOMAT","","",""
"M69","EL MANAR","","",""
"M70","ELEPHANT","","",""
"M71","ERISTOFF","","",""
"M72","ESPRIT DE FETE","","",""
"M73","ESTRIBOS","","",""
"M74","EVEN","","",""
"M75","FANTACHOC","","",""
"M76","FAUGIER","","",""
"M77","FERRERO","","",""
"M78","FOSSIER","","",""
"M79","FRANCINE","","",""
"M80","FRANDEL","","",""
"M81","FREDERIC","","",""
"M82","FRUCTY","","",""
"M83","GARRIDO","","",""
"M84","GERBLE","","",""
"M85","GESNOIN","","",""
"M86","GET","","",""
"M87","GLEN DEVERON","","",""
"M89","HEINEKEN","","",""
"M90","HELIOR","","",""
"M91","HELLO KITTY","","",""
"M92","HERMESETAS","","",""
