"","AA","CONSERVES FRUITS","","","EPI"
"","AB","CONSERVES LEGUMES","","","EPI"
"","AC","CONSERVES VIANDES","","","EPI"
"","AD","CONSERVES POISSONS","","","EPI"
"","AE","PETIT DEJEUNER","","","EPI"
"","AF","PATES RIZ FECULES","","","EPI"
"","AG","LAIT DESSERT","","","EPI"
"","AH","PLATS CUISINES","","","EPI"
"","AI","BEURRE HUILE","","","EPI"
"","AJ","CONDIMENT SAUCE","","","EPI"
"","AK","APERITIF OLIVES","","","EPI"
"","AL","ALIMENTS ENFANTS","","","EPI"
"","AM","BISCUITS","","","EPI"
"","AN","CHOCOLAT SAISONNIER","","","EPI"
"","AO","SUCRERIES","","","EPI"
"","AP","PRODUITS ANIMALIERS","","","EPI"
"","D1","SPIRITUEUX","","","ALC"
"","D3","BRASSERIE","","","LIQ"
"","D5","VINS","","","LIQ"
"","D9","AUTRES BOISSONS","","","LIQ"
"","EM","M","","","ENT"
"","E1","CIGARETTES","","","ENT"
"","FA","PARFUMERIE","","","ENT"
"","FB","TOILETTE","","","ENT"
"","FC","ENTRETIEN","","","ENT"
"","F1","PUERICULTURE","","","ENT"
"","F2","LOISIR EQUIPEMENT","","","ENT"
"","F3","ELECTROMENAGER","","","ENT"
"","F4","TEXTILES","","","ENT"
"","F5","PAPETERIE","","","ENT"
"","F6","MAROQUINERIE","","","ENT"
"","F7","JOUETS","","","ENT"
"","F9","ARTICLE DE MAISON","","","ENT"
"","N1","FRUITS/LEGUMES","","","FRA"
"","N2","FRUIT-LEGUME LOCAUX","","","FRA"
"","P1","CREMERIE  B.O.F.","","","FRA"
"","P3","PATISSERIE","","","FRA"
"","Q1","CHARCUTERIE","","","FRA"
"","Q9","CHARCUTERIE LOCALE","","","FRA"
"","S1","VOLAILLES","","","CGL"
"","S2","POISSONS","","","CGL"
"","S3","ABATS","","","CGL"
"","S4","CARCASSES","","","CGL"
"","S5","BOVINS","","","CGL"
"","S6","PORCINS","","","CGL"
"","S7","OVINS","","","CGL"
"","S8","VIANDE FRAICHE","","","FRA"
"","S9","GIBIERS POILS PLUMES","","","CGL"
"","X1","FINDUS","","","SGL"
"","X3","DESSERT SURG.GLACES","","","SGL"
"","X5","LEGUMES SURGELES","","","SGL"
"","X6","MOTTA","","","SGL"
"","X7","DIVERS","","","SGL"
"","X8","MIKOGEL","","","SGL"
"","X9","GORCY","","","SGL"
