"CARREFOUR","CARREFOUR"
"YOPLAIT","YOPLAIT"
"LAITIERE M","LAITIERE M"
"MAMIE NOVA","MAMIE NOVA"
"GRAND JURY","GRAND JURY"
"MALO","MALO"
"GD JURY","GD JURY"
"DANONE NAT","DANONE NAT"
"DANONE","DANONE"
"CARREF BIO","CARREF BIO"
"VRAI","VRAI"
"SANS","SANS"
"LA LAITIER","LA LAITIER"
"FERM.PEUPL","FERM.PEUPL"
"FERM.MANEG","FERM.MANEG"
"VELOUTE","VELOUTE"
"CRF LIGHT","CRF LIGHT"
"TAILLEFINE","TAILLEFINE"
"SVELTESSE","SVELTESSE"
"CRF BIO","CRF BIO"
"NESTLE","NESTLE"
"SOIGNON","SOIGNON"
"PETIT BASQ","PETIT BASQ"
"RIANS","RIANS"
"DANACOL","DANACOL"
"ACTIVIA","ACTIVIA"
"ACTIMEL","ACTIMEL"
"1ER PRIX","1ER PRIX"
"BON.MAMAN","BON.MAMAN"
"LA FERMIER","LA FERMIER"
"BONNE MAMA","BONNE MAMA"
"G.JURY","G.JURY"
"DANIO","DANIO"
"GERVAIS","GERVAIS"
"CRF KIDS","CRF KIDS"
"R.CREMEUSE","R.CREMEUSE"
"PP BLANC","PP BLANC"
"SAVOIE YAO","SAVOIE YAO"
"LES 2 VACH","LES 2 VACH"
"BIO NAT","BIO NAT"
"MICHEL AUG","MICHEL AUG"
"STARBUCK","STARBUCK"
"MICHEL&AUG","MICHEL&AUG"
"SOJASUN","SOJASUN"
"PTIT PLAIS","PTIT PLAIS"
"DANY","DANY"
"VIENNOIS","VIENNOIS"
"CRF","CRF"
"DANETTE","DANETTE"
"LAITIERE","LAITIERE"
"AFTER EIGH","AFTER EIGH"
"CRF SELEC","CRF SELEC"
"MARI.MORIN","MARI.MORIN"
"CRF BON AP","CRF BON AP"
"B.MAMAN","B.MAMAN"
"GDJU PREMI","GDJU PREMI"
"CAMBREMER","CAMBREMER"
"JANVILLE","JANVILLE"
"DESSERT JO","DESSERT JO"
"FLANBY","FLANBY"
"ANDROS","ANDROS"
"CHARLES","CHARLES"
"GU","GU"
"RENSOW LTD","RENSOW LTD"
"CRF EXOTIQ","CRF EXOTIQ"
"PASQUIER","PASQUIER"
"KINDER","KINDER"
"EVEN","EVEN"
"PETITS SUI","PETITS SUI"
"NO NAME","NO NAME"
"NESQUIK","NESQUIK"
"PTT GERVAI","PTT GERVAI"
"SMARTIES","SMARTIES"
"REO","REO"
"JOCKEY","JOCKEY"
"JOCKEY(D)","JOCKEY(D)"
"REFLETS","REFLETS"
"COTTAGE","COTTAGE"
"FJORD","FJORD"
"GERVITA","GERVITA"
"ELLE & VIR","ELLE & VIR"
"GRAINDORGE","GRAINDORGE"
"PRESIDENT","PRESIDENT"
"ISIGNY","ISIGNY"
"LE GALL","LE GALL"
"BRIDELICE","BRIDELICE"
"BRIDELIGHT","BRIDELIGHT"
"MAILLE","MAILLE"
"INNOCENT","INNOCENT"
"ALVALLE","ALVALLE"
"TROPICANA","TROPICANA"
"DANAO","DANAO"
"VITA COCO","VITA COCO"
"SUN.DELIGH","SUN.DELIGH"
"J.GILLOT","J.GILLOT"
"BRIDEL","BRIDEL"
"CANDIA","CANDIA"
"BOCAG.NORM","BOCAG.NORM"
"GRANDLAIT","GRANDLAIT"
"LACTEL","LACTEL"
"BIOLAIT","BIOLAIT"
"VAUBERNIER","VAUBERNIER"
"SURGERES","SURGERES"
"GRAND FERM","GRAND FERM"
"PAYSAN BRE","PAYSAN BRE"
"CORALIS","CORALIS"
"VOILIER","VOILIER"
"LE MARIN","LE MARIN"
"ASTRA","ASTRA"
"FRUIT D'OR","FRUIT D'OR"
"PLANTA FIN","PLANTA FIN"
"PRIMEVERE","PRIMEVERE"
"ST HUBERT","ST HUBERT"
"LE FLEURIE","LE FLEURIE"
"VEGETALINE","VEGETALINE"
"VALCO","VALCO"
"AGRILAIT","AGRILAIT"
"SILHOUET.","SILHOUET."
"M.LEGER","M.LEGER"
"CANDY'UP","CANDY'UP"
