"4-001001","001","NATURE                        ","001"
"4-001002","001","AROMATISE                     ","002"
"4-001003","001","FRUIT ET PULPE                ","003"
"4-001004","001","A BOIRE                       ","004"
"4-001005","001","A BASE DE SOJA                ","005"
"4-002001","002","GELIFIES SANS CREME           ","001"
"4-002002","002","GELIFIES AVEC CREME           ","002"
"4-002003","002","CREME                         ","003"
"4-002004","002","MOUSSE                        ","004"
"4-002005","002","ENTREMET                      ","005"
"4-002006","002","FLAN NAPPE                    ","006"
"4-002007","002","COMPOTE ET CONFITURE FRAICHE  ","007"
"4-002008","002","AUTRES DESSERTS               ","008"
"4-003001","003","NATURE                        ","001"
"4-003002","003","AROMATISES                    ","002"
"4-003003","003","ALIMENTS BEBE                 ","003"
"4-004001","004","PATES LISSES NATURES          ","001"
"4-004002","004","PATE LISSE FRUITEE ET AROMATIS","002"
"4-004003","004","CAMPAGNE                      ","003"
"4-004004","004","FAISSELLE                     ","004"
"4-004005","004","SPECIALITES                   ","005"
"4-005001","005","EPAISSE                       ","001"
"4-005002","005","FLUIDE                        ","002"
"4-005003","005","PDTS A BASE DE CREME          ","003"
"4-005004","005","SAUCES FRAICHES               ","004"
"4-006001","006","JUS FRUITS                    ","001"
"4-006003","006","BOISSON AUX FRUITS            ","003"
"4-008001","008","CRU                           ","001"
"4-008002","008","PASTEURISE                    ","002"
"4-008003","008","FERMENTE OU BATTU             ","003"
"4-016001","016","BEURRE 82% MG                 ","001"
"4-016002","016","BEURRE ALLEGE                 ","002"
"4-017001","017","VEGETALE NORMALE 82%MG        ","001"
"4-017002","017","VEGETALE ALLEGEE 60%MG        ","002"
"4-017003","017","ALLEGE MIXTE CUISINABLE 60%MG ","003"
"4-017005","017","GRAISSE A FRIRE               ","005"
"4-018001","018","DOUX                          ","001"
"4-018002","018","DEMI SEL                      ","002"
"4-019001","019","UHT + STERILISE               ","001"
"4-020002","020","DESSERT                       ","002"
"4-020003","020","CREMES                        ","003"
"4-020004","020","SPECIALITES                   ","004"
"4-020006","020","SAUCES                        ","006"
"4-021001","021","FRAIS                         ","001"
"4-021004","021","POULE PLEIN AIR               ","004"
"4-021005","021","OEUFS BIO                     ","005"
"4-021007","021","EN CAGE                       ","007"
"4-022001","022","PATE MOLLE CROUTE FLEURIE     ","001"
"4-022002","022","PATE MOLLE CROUTE LAVEE/MIXTE ","002"
"4-022003","022","PATE PRESSEE CUITE            ","003"
"4-022004","022","PATE PRESSEE NON CUITE        ","004"
"4-022005","022","CHEVRES ET BREBIS             ","005"
"4-022006","022","PATE PERSILLEE                ","006"
"4-022007","022","FROMAGES FONDUS               ","007"
"4-022008","022","PATES FRAICHES                ","008"
"4-022009","022","FROMAGES A CUISINER           ","009"
"4-022010","022","SPECIALITES ET AUTRES         ","010"
"4-022011","022","FROMAGE FRAIS EMBALLE         ","011"
"4-022012","022","FROMAGE A LA CARTE            ","012"
"4-023001","023","CUBE APERITIF                 ","001"
"4-029003","029","AUTRES                        ","003"
"4-031001","031","JAMBON CUIT ET EPAULE         ","001"
"4-031002","031","SAUCISSE CUITE                ","002"
"4-031003","031","PRODUIT COCKTAIL              ","003"
"4-031004","031","SAUCISSON CUIT                ","004"
"4-031005","031","PATE                          ","005"
"4-031006","031","RILLETTES                     ","006"
"4-031007","031","TRANCHE SEC, CRU, OU CUIT     ","007"
"4-031008","031","SALAISON ET FUMAISON          ","008"
"4-031009","031","CHARCUTERIE FRAICHE ET A CUIRE","009"
"4-031010","031","CHARCUTERIE DE VOLAILLE       ","010"
"4-031011","031","FOIE GRAS                     ","011"
"4-031012","031","PIECE PORC CUIT               ","012"
"4-031013","031","SAINDOUX                      ","013"
"4-032001","032","JAMBON SEC                    ","001"
"4-032002","032","SAUCISSON SEC PUR PORC        ","002"
"4-032003","032","SAUCISSE SECHE PUR PORC       ","003"
"4-032004","032","SAUCISSE ET SAUCISSON MELANGE ","004"
"4-032005","032","CHORIZO                       ","005"
"4-033001","033","PRODUIT COCKTAIL              ","001"
"4-033002","033","POTAGE ET SOUPE               ","002"
"4-033003","033","SALADE ET CRUDITE             ","003"
"4-033004","033","PRODUITS ELABORES PANES       ","004"
"4-033005","033","ENTREES                       ","005"
"4-033006","033","TARTE SALEE                   ","006"
"4-033007","033","CHARCUTERIE PATISSIERE        ","007"
"4-033008","033","SNACK                         ","008"
"4-033009","033","QUENELLE                      ","009"
"4-033010","033","PATE FRAICHE                  ","010"
"4-033012","033","PLAT PREPARE                  ","012"
"4-033014","033","PATE MENAGERE                 ","014"
"4-033015","033","DESSERT                       ","015"
"4-033018","033","GARNITURE FRAICHE             ","018"
"4-034001","034","CHARCUTERIE HALLAL            ","001"
"4-034002","034","CHARCUTERIE CASHER            ","002"
"4-041001","041","SAUMON FUME                   ","001"
"4-041002","041","AUTRES POISSONS FUMES         ","002"
"4-041003","041","POISSON SALE                  ","003"
"4-042001","042","ANCHOIS                       ","001"
"4-042002","042","AUTRES POISSONS MARINES       ","002"
"4-042003","042","CRUSTACES ET COQUILLAGES      ","003"
"4-043001","043","OEUFS DE POISSONS             ","001"
"4-043002","043","BEURRES                       ","002"
"4-043003","043","BLINIS                        ","003"
"4-043004","043","PATES DE POISSONS             ","004"
"4-044001","044","SOUPE POISSONS                ","001"
"4-044002","044","ACCOMPAGNEMENTS               ","002"
"4-044003","044","SURIMI                        ","003"
"4-044004","044","SALADE DE LA MER              ","004"
"4-044005","044","PLATS PREPARES                ","005"
"4-044006","044","FILET DE POISSON              ","006"
"4-050001","050","STANDARD                      ","001"
"4-050002","050","CERTIFIE                      ","002"
"4-050003","050","FERMIER                       ","003"
"4-050004","050","COQUELET                      ","004"
"4-050005","050","POULE                         ","005"
"4-050007","050","CHAPON                        ","007"
"4-050008","050","DECOUPE                       ","008"
"4-051001","051","STANDARDS                     ","001"
"4-051002","051","FERMIERE                      ","002"
"4-051003","051","DECOUPE                       ","003"
"4-052002","052","CANETTE                       ","002"
"4-052003","052","DECOUPE                       ","003"
"4-053002","053","FERMIERE                      ","002"
"4-054001","054","CAILLES                       ","001"
"4-055001","055","STANDARD                      ","001"
"4-055002","055","FERMIER                       ","002"
"4-056001","056","ABATS DE POULET               ","001"
"4-056002","056","ABATS DE CANARD               ","002"
"4-056003","056","LAPIN                         ","003"
"4-056004","056","AUTRES                        ","004"
"4-057001","057","BROCHETTE                     ","001"
"4-057002","057","SAUCISSE                      ","002"
"4-057003","057","POULET FUME                   ","003"
"4-057004","057","POULET ROTI                   ","004"
"4-057005","057","ROTIS CUITS                   ","005"
"4-057006","057","FARCIS                        ","006"
"4-057007","057","MAGRETS FUMES/SECHES          ","007"
"4-057009","057","CONFIT                        ","009"
"4-057010","057","AUTRES                        ","010"
"4-058001","058","ALIMENTS POUR ANIMAUX         ","001"
"4-060001","060","RACE A VIANDE                 ","001"
"4-060004","060","UVC PREEMBALLEE SOUS ATMOSPHER","004"
"4-060005","060","UVC PREEMBALLEE SOUS VIDE     ","005"
"4-060007","060","VIANDE DE REFORME ""CHR""       ","007"
"4-061001","061","VEAU STANDARD                 ","001"
"4-061002","061","VEAU DE MARQUE                ","002"
"4-061004","061"," VEAU LABEL                   ","004"
"4-061005","061","UVC PREEMBALLEE SOUS ATMOSPHER","005"
"4-061006","061","UVC PREEMBALLEE SOUS VIDE     ","006"
"4-062001","062","ETRANGER                      ","001"
"4-062003","062","LABEL                         ","003"
"4-064001","064","STANDARD                      ","001"
"4-064002","064","LABEL                         ","002"
"4-065001","065","CHEVAL                        ","001"
"4-065002","065","UVC PREEMBALLEE SOUS VIDE     ","002"
"4-066001","066","BOEUF                         ","001"
"4-066002","066","ASSAISONNE                    ","002"
"4-066003","066","PROTEINE                      ","003"
"4-066004","066","AUTRES VIANDES                ","004"
"4-067001","067","SAUCISSERIE                   ","001"
"4-067002","067","PRODUITS ELABORES A GRILLER   ","002"
"4-067003","067","SNACK                         ","003"
"4-067004","067","ROTIS                         ","004"
"4-067005","067","CHAIR                         ","005"
"4-067008","067","PRODUITS DE PORC SALE         ","008"
"4-067010","067","SAUCES                        ","010"
"4-067012","067","AUTRES                        ","012"
"4-068001","068","BOEUF                         ","001"
"4-068002","068","PORC                          ","002"
"4-068003","068","VEAU                          ","003"
"4-068004","068","AGNEAU                        ","004"
"4-069001","069","BISON                         ","001"
"4-069003","069","AUTRES                        ","003"
"4-070003","070","MIXTE                         ","003"
"4-071001","071","DECOUPE DINDE                 ","001"
"4-071002","071","DECOUPE POULET                ","002"
"4-071003","071","DECOUPE AUTRUCHE              ","003"
"4-071004","071","AUTRES DECOUPES               ","004"
"4-080001","080","POTAGE SURGELE                ","001"
"4-080002","080","PIZZA SURGELEE                ","002"
"4-080003","080","QUICHES TARTES SURGELEES      ","003"
"4-080004","080","CREPES SURGELEES              ","004"
"4-080005","080","SNACKS SURGELES               ","005"
"4-081001","081","PREPARATION BASE POISSON      ","001"
"4-081002","081","SAUMON FUME/MARINE            ","002"
"4-081003","081","POISSON CUIT                  ","003"
"4-081004","081","CRUSTACE COQUILLAG. MOLLU. SRG","004"
"4-081005","081","ESCARGOT GRENOUILLE SURGELES  ","005"
"4-081006","081","COQUILLE CUISINEE             ","006"
"4-082001","082","VIANDE PORC/PORCELET          ","001"
"4-082002","082","VOLAILLES DIVERSES ENTIERES   ","002"
"4-082003","082","POULET DECOUPE                ","003"
"4-082004","082","DINDE DECOUPE                 ","004"
"4-082005","082","VOLAILLE DIV DECOUPE          ","005"
"4-082801","082","VIANDE PORC/PORCELET","801"
"4-082802","082","VOLAILLES DIVERSES ENTIERES","802"
"4-082803","082","POULET DECOUPE","803"
"4-082804","082","POULET DECOUPE","804"
"4-082805","082","VOLAILLE DIV DECOUPE","805"
"4-082807","082","CHARCUTERIE","807"
"4-082808","082","VIANDE OVINE","808"
"4-082809","082","VIANDE DE VEAU","809"
"4-082810","082","POULETS ENTIERS","810"
"4-083001","083","FRITES SURGELEES              ","001"
"4-083002","083","POMMES NOISETTE               ","002"
"4-083003","083","POMME RISSOLEE & SAUTEE SURGEL","003"
"4-083004","083","AUTRES GARNITURES SURGELEES   ","004"
"4-084001","084","HARICOTS VERTS                ","001"
"4-084002","084","EPINARDS                      ","002"
"4-084003","084","PETIT POIS                    ","003"
"4-084004","084","CHOUX                         ","004"
"4-084005","084","AUTRES LEGUMES NATURES SURGEL.","005"
"4-084006","084","MELANGE DE LEGUMES SURGELE    ","006"
"4-084007","084","LEGUME CUISINE SURGELE        ","007"
"4-084008","084","PUREE SURGELEE                ","008"
"4-084009","084","CHAMPIGNON SURGELE            ","009"
"4-085001","085","A BASE DE VIANDE              ","001"
"4-085002","085","A BASE DE POISSON             ","002"
"4-085003","085","A BASE DE PATE                ","003"
"4-085004","085","EXOTIQUE                      ","004"
"4-086001","086","PATISSERIE SALEE              ","001"
"4-086002","086","PATISSERIE SUCREE MINI        ","002"
"4-086003","086","VIENNOISERIE                  ","003"
"4-087001","087","FRUITS                        ","001"
"4-088001","088","INDUSTRIE ALI                 ","001"
"4-088002","088","PATISSERIE                    ","002"
"4-088003","088","FROMAGES                      ","003"
"4-090001","090","CREME GLACEE                  ","001"
"4-090002","090","SORBET                        ","002"
"4-090003","090","TYPE HAAGEN DAZS              ","003"
"4-091001","091","BATONNET CREME GLACEE         ","001"
"4-091002","091","GLACE A L'EAU                 ","002"
"4-091003","091","CONE                          ","003"
"4-091004","091","POT                           ","004"
"4-091005","091","BARRE GLACEE                  ","005"
"4-091006","091","GLACE INDIVIDUELLE            ","006"
"4-092001","092","COUPE                         ","001"
"4-092002","092","PORTION                       ","002"
"4-092003","092","SPECIALITE A PARTAGER         ","003"
"4-100001","100","EPAULE                        ","001"
"4-100002","100","JAMBON CUIT                   ","002"
"4-100004","100","JAMBONNEAUX CUITS             ","004"
"4-100005","100","JAMBONS ET SALAISONS SECS     ","005"
"4-100006","100","SAUCISSONS SECS               ","006"
"4-100007","100","SAUCISSONS SECS PIMENTES      ","007"
"4-100008","100","SALAISON CRUE                 ","008"
"4-100009","100","SALAISON CUITE                ","009"
"4-100010","100","FUMEE CRUE                    ","010"
"4-100011","100","FUMEE CUITE                   ","011"
"4-100012","100","SAUCISSERIE FUMEE             ","012"
"4-100013","100","SAUCISSES CUITES              ","013"
"4-100014","100","ANDOUILLETTES                 ","014"
"4-100015","100","ANDOUILLES                    ","015"
"4-100016","100","CHOUCROUTE                    ","016"
"4-100017","100","SAUCISSONS A L AIL            ","017"
"4-100018","100","MORTADELLES/ROULADES/BALLOTINE","018"
"4-100019","100","PATES                         ","019"
"4-100020","100","RILLETTES                     ","020"
"4-100021","100","PATES DE TETE ET LANGUES      ","021"
"4-100024","100","BOUDINS                       ","024"
"4-100025","100","SAUCISSERIE FRAICHE           ","025"
"4-100080","100","STAND ANIMATION CHARC. TRAIT. ","080"
"4-101001","101","PRODUITS COCKTAIL             ","001"
"4-101002","101","ENTREES FROIDES               ","002"
"4-101003","101","SALADES ET CRUDITES           ","003"
"4-101004","101","TARTES ET ASSIMILES           ","004"
"4-101005","101","CHARCUTERIE PATISSIERE        ","005"
"4-101007","101","TRAITEUR DE LA MER            ","007"
"4-101010","101","PRODUITS ASIATIQUES           ","010"
"4-101012","101","VIANDES FROIDES               ","012"
"4-101013","101","PLATS PREPARES                ","013"
"4-101018","101","TRAITEUR FRAIS EMBALLE        ","018"
"4-102001","102","PIZZA RONDE                   ","001"
"4-102003","102","AUTRES PIZZA ET QUICHE        ","003"
"4-103001","103","VOLAILLES ROTIES              ","001"
"4-103002","103","AUTRES PRODUITS ROTIS         ","002"
"4-104002","104","SANDWICH FOCACCIA             ","002"
"4-104004","104","SUCRE                         ","004"
"4-104005","104","SALE                          ","005"
"4-105001","105","JAMBON CUIT                   ","001"
"4-105002","105","JAMBON SEC                    ","002"
"4-105003","105","SAUCISSON SEC                 ","003"
"4-105004","105","SALAISON CRUE                 ","004"
"4-105005","105","SALAISON CUITE                ","005"
"4-105006","105","PATES / RILLETTES             ","006"
"4-105007","105","AUTRES PROD.CHARCUTERIE       ","007"
"4-106002","106","SALADES                       ","002"
"4-106003","106","CHARCUTERIE PATISSIERE        ","003"
"4-106004","106","PLATS CUISINES                ","004"
"4-108001","108","LES ENTREES FRAICHEUR         ","001"
"4-108002","108","LES SNACKS                    ","002"
"4-108004","108","LES DESSERTS                  ","004"
"4-108007","108","LES MENUS                     ","007"
"4-110001","110","BRIES/CAMEMBERTS/COULOMIERS   ","001"
"4-110002","110","TOMES                         ","002"
"4-110003","110","MUNSTER/PT LEVEQUE/MAROILLE/  ","003"
