CARREFOUR,CARREFOUR,,
YOPLAIT,YOPA,,
LAITIERE M,LAITIERE DE LA MOTTE,,
MAMIE NOVA,MAMIE NOVA,,
GRAND JURY,GRAND JURY,,
MALO,MALO,,
GD JURY,GRAND JURY,,
DANONE NAT,DANONE,,
...,NULL,,
DANONE,PETITS GERVAIS,,
CARREF BIO,CARREFOUR BIO,,
VRAI,VRAI,,
.,NULL,,
LA LAITIER,LA LAITIERE,,
FERM.PEUPL,FERME DES PEUPLIERS,,
FERM.MANEG,FERMIER MANEGE,,
VELOUTE,VELOUTE FRUIX,,
.,,,
CRF LIGHT,CARREFOUR LIGHT,,
TAILLEFINE,TAILLEFINE,,
SVELTESSE,SVELTESSE,,
CRF BIO,CARREFOUR BIO,,
NESTLE,KIT KAT,,
SOIGNON,SOIGNON,,
PETIT BASQ,PETIT BASQUE,,
RIANS,RIANS,,
DANACOL,DANACOL,,
ACTIVIA,ACTIVIA,,
ACTIMEL,ACTIMEL,,
1ER PRIX,1ER PRIX,,
BON.MAMAN,BONNE MAMAN,,
LA FERMIER,LA FERMIERE,,
BONNE MAMA,BONNE MAMAN,,
..,NULL,,
G.JURY,GRAND JURY,,
DANIO,DANIO,,
GERVAIS,PETITS GERVAIS,,
CRF KIDS,CARREFOUR KIDS,,
R.CREMEUSE,DANONE,,
PP BLANC,1er Prix ,,
SAVOIE YAO,SAVOIE YAOURT,,
LES 2 VACH,LES 2 VACHES,,
BIO NAT,BIO NAT,,
MICHEL AUG,MICHEL & AUGUSTIN,,
STARBUCK,STARBUCK,,
MICHEL&AUG,MICHEL & AUGUSTIN,,
SOJASUN,SOJASUN,,
PTIT PLAIS,PTIT PLAISIR,,
DANY,DANY,,
VIENNOIS,VIENNOIS,,
CRF,CARREFOUR,,
DANETTE,DANETTE,,
LAITIERE,LA LAITIERE,,
AFTER EIGH,AFTER EIGHT,,
CRF SELEC,CARREFOUR SELECTION,,
MARI.MORIN,MARIE MORIN,,
CRF BON AP,CARREFOUR BON APPETIT,,
B.MAMAN,BONNE MAMAN,,
GDJU PREMI,GRAND JURY PREMIUM,,
CAMBREMER,CAMBREMER,,
JANVILLE,JANVILLE,,
DESSERT JO,DESSERT JO,,
FLANBY,FLANBY,,
ANDROS,ANDROS,,
CHARLES,CHARLES&ALICE,,
GU,GU CHOCOLAT,,
RENSOW LTD,RENSOW LTD,,
CRF EXOTIQ,CARREFOUR EXOTIQUE,,
PASQUIER,PASQUIER,,
KINDER,KINDER,,
EVEN,EVEN,,
PETITS SUI,PETITS SUISSES,,
NO NAME,1er Prix ,,
NESQUIK,NESQUIK,,
PTT GERVAI,PETITS GERVAIS,,
SMARTIES,SMARTIES,,
REO,REO,,
JOCKEY,JOCKEY,,
JOCKEY(D),JOCKEY,,
REFLETS,REFLETS DE France,,
COTTAGE,COTTAGE,,
FJORD,FJORD,,
GERVITA,GERVITA,,
ELLE & VIR,ELLE & VIRE,,
GRAINDORGE,GRAINDORGE,,
PRESIDENT,BRIDEL,,
ISIGNY,ISIGNY,,
LE GALL,LE GALL,,
BRIDELICE,BRIDELICE,,
BRIDELIGHT,BRIDELIGHT,,
MAILLE,MAILLE,,
INNOCENT,INNOCENT,,
ALVALLE,ALVALLE,,
TROPICANA,TROPICANA,,
DANAO,DANAO,,
VITA COCO,VITA COCO,,
SUN.DELIGH,SUNNY DELIGHT,,
J.GILLOT,J.GILLOT,,
BRIDEL,BRIDEL,,
CANDIA,CANDIA,,
BOCAG.NORM,BOCAGE NORMAND,,
GRANDLAIT,GRANDLAIT,,
LACTEL,LACTEL,,
BIOLAIT,BIOLAIT,,
VAUBERNIER,1er Prix ,,
SURGERES,SURGERES,,
GRAND FERM,GRAND FERMAGE,,
PAYSAN BRE,PAYSAN BRETON,,
