4-11,1,NATURE                        ,1
4-12,1,AROMATISE                     ,2
4-13,1,FRUIT ET PULPE                ,3
4-14,1,A BOIRE                       ,4
4-15,1,A BASE DE SOJA                ,5
4-21,2,GELIFIES SANS CREME           ,1
4-22,2,GELIFIES AVEC CREME           ,2
4-23,2,CREME                         ,3
4-24,2,MOUSSE                        ,4
4-25,2,ENTREMET                      ,5
4-26,2,FLAN NAPPE                    ,6
4-27,2,COMPOTE ET CONFITURE FRAICHE  ,7
4-28,2,AUTRES DESSERTS               ,8
4-31,3,NATURE                        ,1
4-32,3,AROMATISES                    ,2
4-33,3,ALIMENTS BEBE,3
4-41,4,PATES LISSES NATURES          ,1
4-42,4,PATE LISSE FRUITEE ET AROMATIS,2
4-43,4,CAMPAGNE                      ,3
4-44,4,FAISSELLE                     ,4
4-45,4,SPECIALITES                   ,5
4-51,5,EPAISSE                       ,1
4-52,5,FLUIDE                        ,2
4-53,5,PDTS A BASE DE CREME          ,3
4-54,5,SAUCES FRAICHES               ,4
4-61,6,JUS FRUITS                    ,1
4-63,6,BOISSON AUX FRUITS            ,3
4-81,8,CRU                           ,1
4-82,8,PASTEURISE                    ,2
4-83,8,FERMENTE OU BATTU             ,3
4-161,16,BEURRE 82% MG                 ,1
4-162,16,BEURRE ALLEGE                 ,2
4-171,17,VEGETALE NORMALE 82%MG        ,1
4-172,17,VEGETALE ALLEGEE 60%MG        ,2
4-173,17,ALLEGE MIXTE CUISINABLE 60%MG ,3
4-175,17,GRAISSE A FRIRE               ,5
4-181,18,DOUX                          ,1
4-182,18,DEMI SEL                      ,2
4-191,19,UHT + STERILISE               ,1
4-202,20,DESSERT                       ,2
4-203,20,CREMES                        ,3
4-204,20,SPECIALITES                   ,4
4-206,20,SAUCES                        ,6
4-211,21,FRAIS                         ,1
4-214,21,POULE PLEIN AIR               ,4
4-215,21,OEUFS BIO                     ,5
4-217,21,EN CAGE                       ,7
4-221,22,PATE MOLLE CROUTE FLEURIE     ,1
4-222,22,PATE MOLLE CROUTE LAVEE/MIXTE ,2
4-223,22,PATE PRESSEE CUITE            ,3
4-224,22,PATE PRESSEE NON CUITE        ,4
4-225,22,CHEVRES ET BREBIS             ,5
4-226,22,PATE PERSILLEE                ,6
4-227,22,FROMAGES FONDUS               ,7
4-228,22,PATES FRAICHES                ,8
4-229,22,FROMAGES A CUISINER           ,9
4-2210,22,SPECIALITES ET AUTRES         ,10
4-2211,22,FROMAGE FRAIS EMBALLE         ,11
4-2212,22,FROMAGE A LA CARTE            ,12
4-231,23,CUBE APERITIF                 ,1
4-293,29,AUTRES                        ,3
4-311,31,JAMBON CUIT ET EPAULE         ,1
4-312,31,SAUCISSE CUITE                ,2
4-313,31,PRODUIT COCKTAIL              ,3
4-314,31,SAUCISSON CUIT                ,4
4-315,31,PATE                          ,5
4-316,31,RILLETTES                     ,6
4-317,31,"TRANCHE SEC, CRU, OU CUIT     ",7
4-318,31,SALAISON ET FUMAISON          ,8
4-319,31,CHARCUTERIE FRAICHE ET A CUIRE,9
4-3110,31,CHARCUTERIE DE VOLAILLE       ,10
4-3111,31,FOIE GRAS                     ,11
4-3112,31,PIECE PORC CUIT               ,12
4-3113,31,SAINDOUX                      ,13
4-321,32,JAMBON SEC                    ,1
4-322,32,SAUCISSON SEC PUR PORC        ,2
4-323,32,SAUCISSE SECHE PUR PORC       ,3
4-324,32,SAUCISSE ET SAUCISSON MELANGE ,4
4-325,32,CHORIZO                       ,5
4-331,33,PRODUIT COCKTAIL              ,1
4-332,33,POTAGE ET SOUPE               ,2
4-333,33,SALADE ET CRUDITE             ,3
4-334,33,PRODUITS ELABORES PANES       ,4
4-335,33,ENTREES                       ,5
4-336,33,TARTE SALEE                   ,6
4-337,33,CHARCUTERIE PATISSIERE        ,7
4-338,33,SNACK                         ,8
4-339,33,QUENELLE                      ,9
4-3310,33,PATE FRAICHE                  ,10
4-3312,33,PLAT PREPARE                  ,12
4-3314,33,PATE MENAGERE                 ,14
4-3315,33,DESSERT                       ,15
4-341,34,CHARCUTERIE HALLAL            ,1
4-342,34,CHARCUTERIE CASHER            ,2
4-411,41,SAUMON FUME                   ,1
4-412,41,AUTRES POISSONS FUMES         ,2
4-413,41,POISSON SALE                  ,3
4-421,42,ANCHOIS                       ,1
4-422,42,AUTRES POISSONS MARINES       ,2
4-423,42,CRUSTACES ET COQUILLAGES      ,3
4-431,43,OEUFS DE POISSONS             ,1
4-432,43,BEURRES                       ,2
4-433,43,BLINIS                        ,3
4-434,43,PATES DE POISSONS             ,4
4-441,44,SOUPE POISSONS                ,1
4-442,44,ACCOMPAGNEMENTS               ,2
4-443,44,SURIMI                        ,3
4-444,44,SALADE DE LA MER              ,4
4-445,44,PLATS PREPARES                ,5
4-446,44,FILET DE POISSON              ,6
4-501,50,STANDARD                      ,1
4-502,50,CERTIFIE                      ,2
4-503,50,FERMIER                       ,3
4-504,50,COQUELET                      ,4
4-505,50,POULE                         ,5
4-507,50,CHAPON                        ,7
4-508,50,DECOUPE                       ,8
4-511,51,STANDARDS                     ,1
4-513,51,DECOUPE                       ,3
4-522,52,CANETTE                       ,2
4-523,52,DECOUPE                       ,3
4-532,53,FERMIERE                      ,2
4-541,54,CAILLES                       ,1
4-551,55,STANDARD                      ,1
4-561,56,ABATS DE POULET               ,1
4-562,56,ABATS DE CANARD               ,2
4-563,56,LAPIN                         ,3
4-564,56,AUTRES                        ,4
4-571,57,BROCHETTE                     ,1
4-572,57,SAUCISSE                      ,2
4-573,57,POULET FUME                   ,3
4-574,57,POULET ROTI                   ,4
4-575,57,ROTIS CUITS                   ,5
4-576,57,FARCIS                        ,6
4-577,57,MAGRETS FUMES/SECHES          ,7
4-579,57,CONFIT                        ,9
4-5710,57,AUTRES                        ,10
4-581,58,ALIMENTS POUR ANIMAUX         ,1
4-601,60,RACE A VIANDE                 ,1
4-604,60,UVC PREEMBALLEE SOUS ATMOSPHER,4
4-605,60,UVC PREEMBALLEE SOUS VIDE     ,5
4-607,60,"VIANDE DE REFORME ""CHR""       ",7
4-611,61,VEAU STANDARD                 ,1
4-612,61,VEAU DE MARQUE                ,2
4-614,61, VEAU LABEL                   ,4
4-615,61,UVC PREEMBALLEE SOUS ATMOSPHER,5
4-616,61,UVC PREEMBALLEE SOUS VIDE     ,6
4-621,62,ETRANGER                      ,1
4-623,62,LABEL                         ,3
4-641,64,STANDARD                      ,1
4-642,64,LABEL                         ,2
4-651,65,CHEVAL                        ,1
4-652,65,UVC PREEMBALLEE SOUS VIDE     ,2
4-661,66,BOEUF                         ,1
4-662,66,ASSAISONNE                    ,2
4-663,66,PROTEINE                      ,3
4-664,66,AUTRES VIANDES                ,4
4-671,67,SAUCISSERIE                   ,1
4-672,67,PRODUITS ELABORES A GRILLER   ,2
4-673,67,SNACK                         ,3
4-674,67,ROTIS                         ,4
4-675,67,CHAIR                         ,5
4-678,67,PRODUITS DE PORC SALE         ,8
4-6710,67,SAUCES                        ,10
4-6712,67,AUTRES                        ,12
4-681,68,BOEUF                         ,1
4-682,68,PORC                          ,2
4-683,68,VEAU                          ,3
4-684,68,AGNEAU                        ,4
4-691,69,BISON                         ,1
4-693,69,AUTRES                        ,3
4-703,70,MIXTE                         ,3
4-711,71,DECOUPE DINDE                 ,1
4-712,71,DECOUPE POULET                ,2
4-713,71,DECOUPE AUTRUCHE              ,3
4-714,71,AUTRES DECOUPES               ,4
4-801,80,POTAGE SURGELE                ,1
4-802,80,PIZZA SURGELEE                ,2
4-803,80,QUICHES TARTES SURGELEES      ,3
4-804,80,CREPES SURGELEES              ,4
4-805,80,SNACKS SURGELES               ,5
4-811,81,PREPARATION BASE POISSON      ,1
4-812,81,SAUMON FUME/MARINE            ,2
4-813,81,POISSON CUIT                  ,3
4-814,81,CRUSTACE COQUILLAG. MOLLU. SRG,4
4-815,81,ESCARGOT GRENOUILLE SURGELES  ,5
4-816,81,COQUILLE CUISINEE             ,6
4-821,82,VIANDE PORC/PORCELET          ,1
4-822,82,VOLAILLES DIVERSES ENTIERES   ,2
4-823,82,POULET DECOUPE                ,3
4-824,82,DINDE DECOUPE                 ,4
4-825,82,VOLAILLE DIV DECOUPE          ,5
4-82801,82,VIANDE PORC/PORCELET,801
4-82802,82,VOLAILLES DIVERSES ENTIERES,802
4-82803,82,POULET DECOUPE,803
4-82804,82,POULET DECOUPE,804
4-82805,82,VOLAILLE DIV DECOUPE,805
4-82807,82,CHARCUTERIE,807
4-82808,82,VIANDE OVINE,808
4-82809,82,VIANDE DE VEAU,809
4-82810,82,POULETS ENTIERS,810
4-831,83,FRITES SURGELEES              ,1
4-832,83,POMMES NOISETTE               ,2
4-833,83,POMME RISSOLEE & SAUTEE SURGEL,3
4-834,83,AUTRES GARNITURES SURGELEES   ,4
4-841,84,HARICOTS VERTS                ,1
4-842,84,EPINARDS                      ,2
4-843,84,PETIT POIS                    ,3
4-844,84,CHOUX                         ,4
4-845,84,AUTRES LEGUMES NATURES SURGEL.,5
