4-00101,001,"NATURE                        ",01
4-00102,001,"AROMATISE                     ",02
4-00103,001,"FRUIT ET PULPE                ",03
4-00104,001,"A BOIRE                       ",04
4-00105,001,"A BASE DE SOJA                ",05
4-00201,002,"GELIFIES SANS CREME           ",01
4-00202,002,"GELIFIES AVEC CREME           ",02
4-00203,002,"CREME                         ",03
4-00204,002,"MOUSSE                        ",04
4-00205,002,"ENTREMET                      ",05
4-00206,002,"FLAN NAPPE                    ",06
4-00207,002,"COMPOTE ET CONFITURE FRAICHE  ",07
4-00208,002,"AUTRES DESSERTS               ",08
4-00301,003,"NATURE                        ",01
4-00302,003,"AROMATISES                    ",02
4-00303,003,"ALIMENTS BEBE                 ",03
4-00401,004,"PATES LISSES NATURES          ",01
4-00402,004,"PATE LISSE FRUITEE ET AROMATIS",02
4-00403,004,"CAMPAGNE                      ",03
4-00404,004,"FAISSELLE                     ",04
4-00405,004,"SPECIALITES                   ",05
4-00501,005,"EPAISSE                       ",01
4-00502,005,"FLUIDE                        ",02
4-00504,005,"SAUCES FRAICHES               ",04
4-00601,006,"JUS FRUITS                    ",01
4-00603,006,"BOISSON AUX FRUITS            ",03
4-00801,008,"CRU                           ",01
4-00802,008,"PASTEURISE                    ",02
4-00803,008,"FERMENTE OU BATTU             ",03
4-01601,016,"BEURRE 82% MG                 ",01
4-01602,016,"BEURRE ALLEGE                 ",02
4-01701,017,"VEGETALE NORMALE 82%MG        ",01
4-01702,017,"VEGETALE ALLEGEE 60%MG        ",02
4-01703,017,"ALLEGE MIXTE CUISINABLE 60%MG ",03
4-01705,017,"GRAISSE A FRIRE               ",05
4-01801,018,"DOUX                          ",01
4-01802,018,"DEMI SEL                      ",02
4-01901,019,"UHT + STERILISE               ",01
4-02002,020,"DESSERT                       ",02
4-02003,020,"CREMES                        ",03
4-02006,020,"SAUCES                        ",06
4-02101,021,"FRAIS                         ",01
4-02104,021,"POULE PLEIN AIR               ",04
4-02105,021,"OEUFS BIO                     ",05
4-02107,021,"EN CAGE                       ",07
4-02201,022,"PATE MOLLE CROUTE FLEURIE     ",01
4-02202,022,"PATE MOLLE CROUTE LAVEE/MIXTE ",02
4-02203,022,"PATE PRESSEE CUITE            ",03
4-02204,022,"PATE PRESSEE NON CUITE        ",04
4-02205,022,"CHEVRES ET BREBIS             ",05
4-02206,022,"PATE PERSILLEE                ",06
4-02207,022,"FROMAGES FONDUS               ",07
4-02208,022,"PATES FRAICHES                ",08
4-02209,022,"FROMAGES A CUISINER           ",09
4-02210,022,"SPECIALITES ET AUTRES         ",10
4-02211,022,"FROMAGE FRAIS EMBALLE         ",11
4-02301,023,"CUBE APERITIF                 ",01
4-02903,029,"AUTRES                        ",03
4-03101,031,"JAMBON CUIT ET EPAULE         ",01
4-03102,031,"SAUCISSE CUITE                ",02
4-03103,031,"PRODUIT COCKTAIL              ",03
4-03104,031,"SAUCISSON CUIT                ",04
4-03105,031,"PATE                          ",05
4-03106,031,"RILLETTES                     ",06
4-03107,031,"TRANCHE SEC, CRU, OU CUIT     ",07
4-03108,031,"SALAISON ET FUMAISON          ",08
4-03109,031,"CHARCUTERIE FRAICHE ET A CUIRE",09
4-03110,031,"CHARCUTERIE DE VOLAILLE       ",10
4-03111,031,"FOIE GRAS                     ",11
