"209","209","CEREALES                                     ","","",""
"226","226","POTAGES ET BOUILLONS                         ","","",""
"228","228","SELS POIVRES EPICES                          ","","",""
"264","264","VINS CONSOMMATION COURANTE                   ","","",""
"220","220","EPICERIE FINE                                ","","",""
"219","219","PRODUITS DIETETIQUES                         ","","",""
"266","266","VINS FINS                                    ","","",""
"083","083","GARNITURES DE P. DE TERRE SRG                ","","",""
"229","229","CHIPS NATURE                                 ","","",""
"284","284","HYGIENE PAPIER                               ","","",""
"031","031","CHARCUTERIE PRE-EMBALLEE                     ","","",""
"230","230","HUILES ALIMENTAIRES                          ","","",""
"239","239","ALIMENTS POUR ANIMAUX                        ","","",""
"033","033","TRAITEUR LS                                  ","","",""
"161","161","PAINS                                        ","","",""
"285","285","HYGIENE PARFUMERIE                           ","","",""
"286","286","BEAUTE                                       ","","",""
"281","281","LAVAGE                                       ","","",""
"222","222","PUREE FECULE SEMOULE                         ","","",""
"212","212","CONFISERIE DE SUCRE                          ","","",""
"269","269","ALCOOLS ET SPIRITUEUX                        ","","",""
"227","227","CONDIMENTS ET SAUCES                         ","","",""
"215","215","PRODUITS POUR PATISSERIE                     ","","",""
"221","221","FARINES                                      ","","",""
"110","110","FROMAGE A LA COUPE                           ","","",""
"182","182","FRUITS SECS                                  ","","",""
"316","316","VAISSELLES A JETER                           ","","",""
"101","101","TRAITEUR COUPE                               ","","",""
"262","262","BIERES CIDRES                                ","","",""
"081","081","POISSONS, F.DE MER,ESCARG. SRG               ","","",""
"214","214","ENTREMETS ET DESSERTS                        ","","",""
"235","235","CONSERVES DE POISSON                         ","","",""
"263","263","EAUX MINERALES                               ","","",""
"270","270","ALCOOLS DE GRAINS                            ","","",""
"080","080","POTAGES ET ENTREES SURGELES                  ","","",""
"261","261","BOISSONS SANS ALCOOL                         ","","",""
"397","397","BOUGIES ET SENTEURS                          ","","",""
"020","020","PRODUIT LAITIER UHT/ AUTRE UHT               ","","",""
"205","205","PRODUITS POUR APERITIF                       ","","",""
"034","034","CHARCUTERIE HALLAL/CASHER                    ","","",""
"282","282","PRODUITS D'ENTRETIEN                         ","","",""
"185","185","4EME GAMME                                   ","","",""
"204","204","PATISSERIE-INDUSTRIELLE                      ","","",""
"084","084","LEGUMES SURGELES                             ","","",""
"233","233","FRUITS AU SIROP                              ","","",""
"210","210","THES ET INFUSIONS                            ","","",""
"322","322","ECRITURE                                     ","","",""
"203","203","BISCUITERIE SUCREE                           ","","",""
"082","082","VIANDES ET ABATS SURGELES                    ","","",""
"224","224","RIZ                                          ","","",""
"032","032","JB & SCISSON SEC LS/VERRINE                  ","","",""
"236","236","CONSERVES DE VIANDES                         ","","",""
"208","208","POUDRES CHOCOLATEES                          ","","",""
"232","232","CONFIT. PATES A TARTINER MIEL                ","","",""
"002","002","DESSERTS                                     ","","",""
"357","357","ANIMALERIE                                   ","","",""
